timestamp,indicated_airspeed_m_s,equivalent_airspeed_m_s,true_airspeed_m_s,equivalent_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
2898514,-3.5528042,-3.5528042,-3.6472266,0.0,0.0,1,1
2998544,-3.542938,-3.542938,-3.6369746,0.0,0.0,1,1
3898517,-3.6721191,-3.6721191,-3.7701657,0.0,0.0,1,1
4898512,-3.0081758,-3.0081758,-3.0886233,0.0,0.0,1,1
5898569,-2.8560135,-2.8560135,-2.931666,0.0,0.0,1,1
6898518,-3.5089674,-3.5089674,-3.6026828,0.0,0.0,1,1
7898563,-3.4739335,-3.4739335,-3.5662718,0.0,0.0,1,1
8898555,-2.391938,-2.391938,-2.4559617,0.0,0.0,1,1
9898518,-2.939199,-2.939199,-3.0178905,0.0,0.0,1,1
11898731,-3.0569153,-3.0569153,-3.139013,0.23704116,0.24729379,1,1
12898545,-3.3119493,-3.3119493,-3.4007542,0.22411768,0.23382835,1,1
13898880,-2.6632771,-2.6632771,-2.7346778,0.20536034,0.21427675,1,1
15898514,-3.1862695,-3.1862695,-3.2719483,0.22172561,0.23138794,1,1
16898519,-2.9054105,-2.9054105,-2.9838061,0.2331984,0.24337761,1,1
18898512,-3.088074,-3.088074,-3.1712093,0.22788815,0.23787133,1,1
21898526,-3.6478543,-3.6478543,-3.7460296,0.16609581,0.17341442,1,1
22898508,-3.276412,-3.276412,-3.364616,0.17515527,0.18288621,1,1
23898515,-3.2859054,-3.2859054,-3.3744733,0.19101837,0.19947055,1,1
24898670,-3.1109166,-3.1109166,-3.1948867,0.20540956,0.21451022,1,1
25898769,-3.350626,-3.350626,-3.4409692,0.20709042,0.21628407,1,1
28898519,-3.3104293,-3.3104293,-3.4002311,0.2852118,0.29795384,1,1
31898517,-3.023982,-3.023982,-3.1058486,0.3009457,0.31445578,1,1
32898522,-3.2542984,-3.2542984,-3.3423347,0.27876198,0.2912968,1,1
34898967,-3.246053,-3.246053,-3.3339984,0.23714899,0.2478544,1,1
35898649,-3.5782518,-3.5782518,-3.6753123,0.22585529,0.23606728,1,1
36898707,-3.689958,-3.689958,-3.7898777,0.21877486,0.22868197,1,1
37898532,-3.3931425,-3.3931425,-3.4851766,0.20495585,0.21425074,1,1
39898527,-3.76907,-3.76907,-3.8709533,0.1474475,0.15415688,1,1
42898512,-3.5894086,-3.5894086,-3.6868312,0.120739914,0.12625898,1,1
43898514,-3.4301214,-3.4301214,-3.5232499,0.106461994,0.111335434,1,1
44898515,-3.6069894,-3.6069894,-3.7050028,0.0902087,0.09434433,1,1
46898680,-3.2099202,-3.2099202,-3.2972035,0.06659223,0.06965637,1,1
49898512,-2.6880805,-2.6880805,-2.7614129,0.1288464,0.13480176,1,1
51898533,-2.6902728,-2.6902728,-2.7637842,0.17106195,0.1790007,1,1
53898515,-3.4927337,-3.4927337,-3.5885994,0.20443062,0.21394338,1,1
54898515,-3.3146362,-3.3146362,-3.4057517,0.21504553,0.22507256,1,1
55899112,-3.0592654,-3.0592654,-3.1433854,0.23865795,0.24980113,1,1
57898729,-3.6277635,-3.6277635,-3.7276185,0.26462802,0.2770225,1,1
58898523,-3.0801225,-3.0801225,-3.1648815,0.2634398,0.27580214,1,1
60898530,-3.438163,-3.438163,-3.5330098,0.24580407,0.25737384,1,1
62898678,-3.0316083,-3.0316083,-3.115123,0.21602501,0.22622132,1,1
65898524,-3.1863837,-3.1863837,-3.2743907,0.17561586,0.1839424,1,1
67898629,-3.3611608,-3.3611608,-3.4539435,0.1781751,0.18664558,1,1
68898514,-3.8838587,-3.8838587,-3.9910498,0.18457821,0.193366,1,1
70898519,-3.2890408,-3.2890408,-3.379757,0.19713302,0.20655277,1,1
71898563,-3.3765595,-3.3765595,-3.4699762,0.19782522,0.20728603,1,1
72898571,-3.3653245,-3.3653245,-3.458665,0.19649231,0.20590281,1,1
73898522,-2.9641972,-2.9641972,-3.0461981,0.19297355,0.20222548,1,1
76899264,8.93844,8.93844,9.185845,0.1485563,0.15570812,1,1
77898698,9.171301,9.171301,9.425365,0.13574803,0.14229059,1,1
78898514,9.05174,9.05174,9.302693,0.12852308,0.13472456,1,1
80898535,8.805312,8.805312,9.04919,0.11860448,0.12434239,1,1
82898575,8.810662,8.810662,9.055314,0.11778608,0.123499505,1,1
83898514,9.045137,9.045137,9.296368,0.11663033,0.12229356,1,1
84898564,8.845232,8.845232,9.09092,0.12264511,0.12861012,1,1
86898524,8.811193,8.811193,9.055347,0.12534241,0.13145204,1,1
89898512,8.713129,8.713129,8.95549,0.11558893,0.12124302,1,1
93898589,-0.68029565,-0.68029565,-0.6992438,0.10486161,0.110017546,1,1
95898932,0.8762902,0.8762902,0.90072864,0.12224736,0.12827429,1,1
96898518,-1.4716979,-1.4716979,-1.5126925,0.14639989,0.15362436,1,1
97898719,0.59031105,0.59031105,0.6068863,0.16426761,0.17238553,1,1
101898560,-1.098089,-1.098089,-1.1289672,0.18909703,0.19848749,1,1
103898521,1.7471794,1.7471794,1.7962645,0.17894244,0.1878529,1,1
106898527,6.091989,6.091989,6.2621384,0.18573329,0.19501145,1,1
107898520,6.308651,6.308651,6.484946,0.18195707,0.1910567,1,1
108898572,6.712475,6.712475,6.9002247,0.17719609,0.18607277,1,1
109898512,6.7653623,6.7653623,6.954747,0.17686313,0.18573576,1,1
115899350,6.737872,6.737872,6.9268537,0.19324815,0.20303415,1,1
117898520,6.878686,6.878686,7.0721707,0.21148816,0.22223616,1,1
121898516,9.180625,9.180625,9.4404745,0.24994542,0.26273185,1,1
123898514,10.429092,10.429092,10.723208,0.24443346,0.25698465,1,1
124898636,10.684049,10.684049,10.986983,0.24280025,0.25528863,1,1
126898527,11.905969,11.905969,12.240136,0.24714242,0.25989878,1,1
127898518,12.529055,12.529055,12.880244,0.23302446,0.245075,1,1
130898520,13.456133,13.456133,13.832038,0.20633106,0.21705478,1,1
137898514,8.682468,8.682468,8.923939,0.16657561,0.17532063,1,1
139898536,7.2584457,7.2584457,7.4605236,0.14648618,0.15419412,1,1
141898517,6.905322,6.905322,7.0964494,0.13450165,0.14159054,1,1
142898600,6.526327,6.526327,6.70634,0.1392973,0.14664868,1,1
147898618,2.496707,2.496707,2.5660517,0.11665442,0.12283054,1,1
148898517,1.3691881,1.3691881,1.407153,0.093011014,0.09793639,1,1
149898517,-1.138598,-1.138598,-1.1702584,0.06284895,0.066180944,1,1
151898509,-0.74704707,-0.74704707,-0.7677486,0.032863002,0.034606177,1,1
153898604,0.23638593,0.23638593,0.24292845,0.048385605,0.050955582,1,1
156898514,-0.5482399,-0.5482399,-0.5634699,0.045043446,0.047440372,1,1
157898514,-0.6252242,-0.6252242,-0.64260465,0.06875854,0.072420724,1,1
158898604,1.3641936,1.3641936,1.4020402,0.09187946,0.09677536,1,1
159898515,0.87229747,0.87229747,0.8965208,0.11976291,0.126151,1,1
160898665,0.9285788,0.9285788,0.9544506,0.14512107,0.15286513,1,1
168899426,-1.3462176,-1.3462176,-1.384008,0.13840882,0.14582814,1,1
169898523,0.6453702,0.6453702,0.663463,0.121125594,0.12762049,1,1
171898514,-0.59208614,-0.59208614,-0.6087039,0.08647081,0.091111585,1,1
173898605,-1.3741078,-1.3741078,-1.4126693,0.05557991,0.058567207,1,1
174898565,1.0191296,1.0191296,1.0477201,0.051870275,0.054659605,1,1
176898572,-0.68314147,-0.68314147,-0.70232636,0.043706737,0.046058282,1,1
177898572,-1.5358092,-1.5358092,-1.5791506,0.04528621,0.047724668,1,1
189898512,-1.3139626,-1.3139626,-1.3514233,0.069218576,0.072971396,1,1
191898515,0.68745834,0.68745834,0.7071345,0.05912776,0.062335745,1,1
192898515,-1.8018142,-1.8018142,-1.8534197,0.045552243,0.048025172,1,1
194898579,1.8665323,1.8665323,1.920124,0.039453615,0.04159671,1,1
204898523,-1.8051053,-1.8051053,-1.8571378,0.032301214,0.034063727,1,1
206898528,-1.4103165,-1.4103165,-1.4509709,0.041335143,0.043591682,1,1
207898596,-1.3606896,-1.3606896,-1.3999406,0.037407603,0.03945147,1,1
208898520,-1.7821043,-1.7821043,-1.8335423,0.037898086,0.039969187,1,1
209898538,-1.7912407,-1.7912407,-1.8429903,0.035811547,0.03777062,1,1
210898520,-1.5891638,-1.5891638,-1.6350261,0.041052006,0.04329807,1,1
213898599,-1.0545723,-1.0545723,-1.0851423,0.09038209,0.0953339,1,1
214898521,-1.5058571,-1.5058571,-1.5495296,0.09558862,0.100827895,1,1
218898812,0.9757139,0.9757139,1.0040994,0.100122035,0.105624065,1,1
219898590,0.4026296,0.4026296,0.41441157,0.11334215,0.11957437,1,1
221898527,-0.9533726,-0.9533726,-0.98130286,0.117180616,0.12362853,1,1
222898581,-1.9410228,-1.9410228,-1.9980316,0.09880918,0.10424968,1,1
223898535,-1.543622,-1.543622,-1.5887896,0.09245441,0.09754859,1,1
224898707,0.931943,0.931943,0.9592436,0.0951516,0.10039687,1,1
226898537,-1.9166005,-1.9166005,-1.9724909,0.06561568,0.06923336,1,1
227898623,-1.7246807,-1.7246807,-1.7751192,0.04839073,0.05106099,1,1
229898553,-1.1371009,-1.1371009,-1.1704147,0.014219108,0.015004634,1,1
230898514,-0.4347811,-0.4347811,-0.44753864,0.0099730315,0.01052414,1,1
231898524,-0.960376,-0.960376,-0.9885154,0.005289052,0.0055814898,1,1
232898520,-2.1512663,-2.1512663,-2.2146573,0.006476929,0.0068353214,1,1
233898557,-1.6583785,-1.6583785,-1.7071881,0.011947277,0.012608409,1,1
236898758,-1.9574139,-1.9574139,-2.0151238,0.03409727,0.035987567,1,1
238898515,-1.1322873,-1.1322873,-1.1656023,0.06413534,0.0676942,1,1
239898569,-1.0166516,-1.0166516,-1.0466477,0.07554917,0.079742745,1,1
240898525,-1.5725976,-1.5725976,-1.6189662,0.08557988,0.09033525,1,1
241898514,-2.3111815,-2.3111815,-2.3792634,0.1053277,0.111180745,1,1
242898515,-2.0579643,-2.0579643,-2.118817,0.114003405,0.120343424,1,1
243898517,-1.7364902,-1.7364902,-1.7877991,0.12412898,0.13103625,1,1
244898574,-1.7955921,-1.7955921,-1.8486015,0.13170002,0.13903132,1,1
245898517,-1.4517146,-1.4517146,-1.4945177,0.12686028,0.13392545,1,1
