timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
4063340,0.99799705,0.0096601825,-0.012591968,-0.0612378,-2.1032673e-05,-0.00018821978,0.0021627813,-3.3810915e-07,-2.8304582e-06,-0.079797536,-1.2838306e-09,-1.3877006e-12,-5.340628e-08,0.0,0.0,3.9103747e-09,0.3572811,-0.012120792,-0.04927074,0.0,0.0,0.0,0.0,0.0,1.9847829e-10,9.461498e-06,0.00033628318,1.1954674e-05,0.0025056496,0.0025056603,0.002993077,25.002449,25.002449,0.2027113,0.31187537,0.31187537,6.125182,1e-06,1.0000002e-06,9.995915e-07,0.0,0.0,4.000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023312653,0.0016275499,0.07980428,67240466,0.0,0.0,0.0018678347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
4073338,0.997997,0.0096571045,-0.0125666885,-0.06124406,0.00010545543,-0.00019683881,0.0029303613,8.354033e-08,-4.753633e-06,-0.0797721,-1.2838306e-09,-1.3877006e-12,-5.340628e-08,0.0,0.0,3.9103747e-09,0.3572811,-0.012120792,-0.04927074,0.0,0.0,0.0,0.0,0.0,1.977784e-10,9.422938e-06,0.00033300716,1.1965228e-05,0.0025089043,0.002508917,0.0029955206,25.003506,25.003506,0.2027755,0.3393766,0.3393766,6.125324,1e-06,1.0000002e-06,9.995915e-07,0.0,0.0,4.000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028069457,0.002320433,0.07657384,67240466,0.0,0.0,0.0018678347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
4863663,0.9979596,0.009688903,-0.010918733,-0.062157147,-0.011274469,-0.0022920086,0.04164876,-0.0013642168,-0.0003634568,-0.0009212035,-1.6122758e-08,1.5703075e-07,2.3551015e-06,0.0,0.0,-5.913229e-07,0.3572811,-0.012120792,-0.04927074,0.0,0.0,0.0,0.0,0.0,1.6778377e-10,8.887934e-06,0.00026252298,4.374652e-06,0.0042304886,0.00423078,0.0008814969,0.8743237,0.87437326,0.22940208,0.17828842,0.17828937,0.808812,9.960659e-07,9.961464e-07,7.2902463e-07,0.0,0.0,3.9978104e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016074452,0.0024617813,0.006204367,67240466,0.0,0.0,0.00023538363,0.0,2.6481359e-05,2.6481359e-05,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
5063747,0.99796546,0.0096805915,-0.010544508,-0.062129814,-0.017308835,-0.0031462433,0.04877602,-0.0024559423,-0.00053689105,-0.0117704095,-1.307164e-07,5.039306e-07,-8.7384484e-07,0.0,0.0,2.0751877e-06,0.3572811,-0.012120792,-0.04927074,0.0,0.0,0.0,0.0,0.0,1.6160032e-10,8.4381945e-06,0.00025597704,4.5079923e-06,0.004956477,0.00495623,0.0008999932,0.7723581,0.772429,0.24101947,0.15926632,0.15926851,0.67609215,9.853321e-07,9.852375e-07,6.075141e-07,0.0,0.0,3.9931733e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047603337,0.0040268204,0.006809163,67240466,0.0,0.0,0.00011155394,0.0,4.8308048e-05,4.8308048e-05,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
5263832,0.99797463,0.009743475,-0.010271695,-0.062017865,-0.022547424,-0.002973495,0.05812035,-0.0038213488,-0.00069077563,0.003338405,-4.929714e-07,1.6064567e-06,-5.21282e-06,0.0,0.0,2.2240226e-06,0.3572811,-0.012120792,-0.04927074,0.0,0.0,0.0,0.0,0.0,1.618246e-10,8.48329e-06,0.00024655735,4.4403205e-06,0.005566953,0.005566293,0.0008748299,0.8276834,0.82773656,0.25321025,0.15103492,0.151038,0.5980672,9.580014e-07,9.577725e-07,4.81059e-07,0.0,0.0,3.982654e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00095559476,0.006077959,0.0064470326,67240466,0.0,0.0,0.00047255596,0.0,7.874474e-05,7.874474e-05,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
6064161,0.99797267,0.010058323,-0.010837796,-0.061903242,-0.02290453,0.0020880844,0.048816547,-0.0058483803,0.00023087846,-0.07303041,-3.1177058e-06,1.666083e-05,-1.0194315e-05,0.0,0.0,7.5173564e-05,0.3572811,-0.012120792,-0.04927074,0.0,0.0,0.0,0.0,0.0,1.8817643e-10,9.64926e-06,0.00021896338,3.601544e-06,0.0045271995,0.004525923,0.00074329984,0.98482007,0.9847113,0.302324,0.1647854,0.16478066,0.5645351,6.215269e-07,6.213068e-07,1.859265e-07,0.0,0.0,3.8462354e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023848135,0.022037456,0.035223886,67240466,0.0,0.0,0.00018373504,0.0,0.0001403551,0.0001403551,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
6264262,0.9979663,0.010083775,-0.011112509,-0.061953,-0.020403566,0.0018780843,0.021369202,-0.0053422186,0.00036883837,-0.13825507,-3.318418e-06,2.0735695e-05,-9.872631e-06,0.0,0.0,0.00013920828,0.3572811,-0.012120792,-0.04927074,0.0,0.0,0.0,0.0,0.0,2.0158206e-10,1.0090442e-05,0.000232972,3.3883427e-06,0.0038824,0.0038811574,0.0007137856,0.90869546,0.9085961,0.3075767,0.16449355,0.1644881,0.5695839,5.290364e-07,5.2886037e-07,1.5048988e-07,0.0,0.0,3.7645314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022939655,0.03345856,0.06373537,67240466,0.0,0.0,1.3894239e-05,0.0,0.00012985349,0.00012985349,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
6464339,0.99795544,0.010090315,-0.011347693,-0.062084388,-0.017477158,0.0026974403,-0.014781797,-0.004812481,0.0004518471,-0.21760367,-3.3945078e-06,2.419053e-05,-8.997059e-06,0.0,0.0,0.00021794555,0.3572811,-0.012120792,-0.04927074,0.0,0.0,0.0,0.0,0.0,1.952061e-10,9.794341e-06,0.00022036991,3.1195705e-06,0.0033382936,0.0033371244,0.0006635798,0.82608986,0.8260104,0.3095193,0.16201057,0.16200517,0.5778801,4.4922064e-07,4.4907875e-07,1.2032504e-07,0.0,0.0,3.661384e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002003836,0.044226676,0.08707855,67240466,0.0,0.0,7.3574076e-05,0.0,0.0001176462,0.0001176462,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
7064592,0.9979609,0.01010955,-0.011813147,-0.061904807,-0.012688431,0.0036805589,-0.064280435,-0.0036815347,0.0007329583,-0.35711265,-3.2679961e-06,3.1430733e-05,-1.1672316e-05,0.0,0.0,0.00033493753,0.3572811,-0.012120792,-0.04927074,0.0,0.0,0.0,0.0,0.0,1.7992396e-10,9.214805e-06,0.0002509863,2.661551e-06,0.002277978,0.0022775317,0.0005683041,0.6328724,0.6329768,0.30652738,0.15065429,0.15066713,0.6323465,2.7379158e-07,2.7383535e-07,6.8257954e-08,0.0,0.0,3.2806547e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012169653,0.010471515,0.019907024,67240466,0.0,0.0,0.0020787576,0.0,8.811141e-05,8.811141e-05,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
7864920,0.9979617,0.0100280875,-0.012165634,-0.06183864,-0.006763335,0.003179036,-0.13035196,-0.0024464978,0.0008896893,-0.5682167,-2.3220955e-06,3.6730933e-05,-1.2134971e-05,0.0,0.0,0.00047699266,0.3572811,-0.012120792,-0.04927074,0.0,0.0,0.0,0.0,0.0,1.7183098e-10,8.9958985e-06,0.0002192326,2.1519877e-06,0.0014581005,0.0014583113,0.00046495753,0.48830128,0.48835307,0.27456877,0.13871622,0.13872354,0.6630876,1.3252973e-07,1.325973e-07,3.5794088e-08,0.0,0.0,2.6453104e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005931802,0.003102365,0.002251065,67240466,0.0,0.0,0.0022497722,0.0,5.816932e-05,5.816932e-05,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
8065009,0.9979626,0.010020873,-0.012207666,-0.06181658,-0.006011662,0.001954946,-0.14798401,-0.002167634,0.0008233224,-0.62777793,-2.0963396e-06,3.7541035e-05,-1.2293992e-05,0.0,0.0,0.0005106566,0.3572811,-0.012120792,-0.04927074,0.0,0.0,0.0,0.0,0.0,1.8092607e-10,9.381953e-06,0.00024800008,2.0570103e-06,0.0012920335,0.0012922693,0.00044860557,0.45902056,0.45906156,0.27237225,0.13628748,0.13629326,0.6921109,1.08650575e-07,1.08708186e-07,3.123921e-08,0.0,0.0,2.5175975e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049678196,0.0036957678,0.0028869628,67240466,0.0,0.0,0.00019716658,0.0,5.140388e-05,5.140388e-05,0.0,0.0,0.0,0.0,0,0,0,228,24,0,0,0,0,0,0,0
