timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
2952880,-0.0015858962,0.0053743045,-0.0025640065,5003,0,-0.18941694,-0.26607117,-9.751471,5003,0
2957881,-0.0030293975,0.0045945705,-0.0023988346,5001,0,-0.22279972,-0.24827315,-9.743293,5001,0
3017902,-0.00023683753,0.004291784,-0.0017799311,5002,0,-0.23182188,-0.18858762,-9.736881,5002,0
3022907,0.00048162937,0.0043982156,-9.845672e-05,5005,0,-0.23964386,-0.19736102,-9.725623,5005,0
3027908,0.0013319501,0.0047977963,-0.00217772,5001,0,-0.20853639,-0.23330045,-9.731146,5001,0
3032908,1.0635681e-05,0.003817708,-0.0024982125,5000,0,-0.23330285,-0.22396682,-9.807763,5000,0
3037912,0.0018349593,0.0041308487,-0.0029915953,5004,0,-0.21077344,-0.20347416,-9.771591,5004,0
3042916,-0.0034997095,0.004182388,-0.0033331506,5004,0,-0.21739006,-0.22899064,-9.759166,5004,0
3047969,-0.0034373454,0.003451962,-0.0022298417,5053,0,-0.19843546,-0.21505007,-9.752193,5053,0
3052917,-0.0005635188,0.005918795,-0.002775344,4948,0,-0.23166175,-0.19741946,-9.742162,4948,0
3057921,-0.0010534892,0.005822283,-0.0028505994,5004,0,-0.23972373,-0.2363105,-9.719497,5004,0
3062921,0.0028704812,0.0053473986,-0.0005142151,5000,0,-0.2629214,-0.23415221,-9.722619,5000,0
3067918,-0.0010357061,0.004757525,-0.0013922042,4997,0,-0.23497991,-0.22956142,-9.746666,4997,0
3072930,0.0011071945,0.0040481347,-0.0006722732,5012,0,-0.24920183,-0.20851526,-9.778145,5012,0
3077927,-0.0007390133,0.0041682017,-0.00052100985,4997,0,-0.24496956,-0.1884724,-9.761462,4997,0
3082934,-0.0009171684,0.004448234,-0.0020539556,5007,0,-0.22069497,-0.20829508,-9.721473,5007,0
3087933,-0.00096124294,0.00322996,-0.0014172477,4999,0,-0.18329255,-0.21521865,-9.742384,4999,0
3092943,-0.0007542837,0.0046646683,-0.0018652048,5010,0,-0.20164208,-0.19495691,-9.753929,5010,0
3097935,0.00069932215,0.005564477,-0.0005744493,4992,0,-0.2190758,-0.18433225,-9.781342,4992,0
3102937,-0.0016165774,0.0028381532,-0.0014284933,5002,0,-0.27333513,-0.18433122,-9.757058,5002,0
3107943,0.00042132672,0.0034983514,-0.0018535574,5006,0,-0.2668183,-0.1820426,-9.778906,5006,0
3112947,0.0008333699,0.004953513,-0.001956576,5004,0,-0.2584573,-0.21595275,-9.754621,5004,0
3117943,-0.00040294748,0.0043754545,-0.0015937147,4996,0,-0.23078915,-0.21245468,-9.776414,4996,0
3122945,-0.00025920302,0.005797864,-8.758885e-05,5002,0,-0.22709654,-0.23594518,-9.799294,5002,0
3127947,0.0019925702,0.0040527084,-0.00072317716,5002,0,-0.23026946,-0.24428223,-9.769462,5002,0
