timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
2953920,2952880,2162698,2162698,-7.934239e-06,2.6887647e-05,-1.2827725e-05,-0.000947653,-0.0013311541,-0.04878661,5003,5003,0
2958916,2957881,2162698,2162698,-1.5150017e-05,2.2977447e-05,-1.1996572e-05,-0.0011142214,-0.001241614,-0.04872621,5001,5001,0
3954363,3953292,2162698,2162698,-4.918582e-06,2.1035261e-05,-4.310333e-06,-0.0012057314,-0.0010484918,-0.048643302,4985,4985,0
4954840,4953711,2162698,2162698,-7.016361e-06,2.8621671e-05,-5.442955e-06,-0.0012252913,-0.0011929683,-0.049006086,5013,5013,0
5454960,5453910,2162698,2162698,9.12169e-06,2.7526881e-05,-5.785468e-06,-0.0010463113,-0.0009956514,-0.048995346,5005,5005,0
5955239,5954115,2162698,2162698,-8.404894e-06,2.3125818e-05,-6.9657203e-06,-0.0012081878,-0.00097016303,-0.048525065,5002,5002,0
6455545,6454332,2162698,2162698,8.479614e-06,2.3880732e-05,-8.838186e-06,-0.0011296206,-0.0010372873,-0.04876381,5008,5008,0
6955703,6954535,2162698,2162698,-4.524973e-07,1.8886723e-05,-7.9875335e-06,-0.0012102469,-0.0009299771,-0.048661042,5002,5002,0
7455891,7454748,2162698,2162698,-1.0832346e-06,1.9784127e-05,-7.8660905e-06,-0.001171015,-0.0010367488,-0.048828237,5009,5009,0
7956088,7954954,2162698,2162698,-2.3587666e-06,2.262851e-05,-2.9341859e-06,-0.0010883574,-0.0010927422,-0.048596233,5005,5005,0
8456280,8455161,2162698,2162698,1.4129591e-06,1.717948e-05,-1.0283769e-05,-0.001086532,-0.00093632395,-0.048514314,4965,4965,0
8956486,8955374,2162698,2162698,-2.2545102e-05,1.8921672e-05,-3.1009495e-06,-0.0012291201,-0.00087662594,-0.04879528,5002,5002,0
9456703,9455590,2162698,2162698,-4.9007745e-06,2.5697505e-05,-4.7961025e-06,-0.0012069267,-0.0008942868,-0.048752695,5011,5011,0
9956980,9955808,2162698,2162698,-9.560291e-06,2.06058e-05,-9.00682e-06,-0.0012620251,-0.0009573349,-0.048927076,5018,5018,0
11957698,11956644,2162698,2162698,-7.924268e-06,1.7523407e-05,-4.9596274e-06,-0.0010961657,-0.00095228764,-0.048844345,4998,4998,0
12452905,12451855,2162698,2162698,-6.2009394e-06,2.2965116e-05,-6.572768e-06,-0.0012551016,-0.00088377006,-0.04874609,5005,5005,0
12953111,12952064,2162698,2162698,-9.715345e-06,2.2620738e-05,-6.005106e-06,-0.0011560211,-0.0009870754,-0.04876809,4998,4998,0
13453362,13452285,2162698,2162698,5.466166e-06,2.0222044e-05,-1.1267631e-05,-0.0010442648,-0.0010636916,-0.048823815,5003,5003,0
13953576,13952494,2162698,2162698,-1.6931026e-06,1.5876923e-05,-1.9925762e-06,-0.0011631438,-0.001026244,-0.048887983,5004,5004,0
14453796,14452710,2162698,2162698,-5.956515e-06,1.646474e-05,-1.4644481e-06,-0.0010269801,-0.0011541918,-0.04893886,5004,5004,0
16954840,16953785,2162698,2162698,-1.7590074e-06,2.1920812e-05,-2.8924494e-06,-0.0012764054,-0.000949891,-0.04899015,5002,5002,0
17455104,17454002,2162698,2162698,-2.595122e-06,1.793229e-05,-4.8931915e-06,-0.0010745906,-0.0010536081,-0.048718132,5002,5002,0
18455500,18454441,2162698,2162698,-1.0093216e-05,1.9790361e-05,-3.1539246e-06,-0.00115859,-0.00097023876,-0.04877154,5003,5003,0
18955705,18954657,2162698,2162698,6.0323437e-06,2.7606608e-05,-3.9100523e-06,-0.0010771195,-0.0009997824,-0.04885614,5005,5005,0
19455941,19454873,2162698,2162698,-1.081525e-05,1.9409486e-05,-5.8262112e-06,-0.001364866,-0.0009780484,-0.04898318,4994,4994,0
21957018,21955970,2162698,2162698,3.2288117e-06,1.7335717e-05,-1.027413e-05,-0.0012278818,-0.0011918131,-0.048670527,4986,4986,0
22457311,22456190,2162698,2162698,2.3424666e-06,2.3257304e-05,-1.0251689e-05,-0.0012033721,-0.0012269896,-0.048811086,5002,5002,0
22957524,22956411,2162698,2162698,-3.150073e-06,2.2047725e-05,-5.7478996e-07,-0.0011370952,-0.0011110434,-0.048433162,4999,4999,0
23457684,23456636,2162698,2162698,-8.181243e-06,2.3132157e-05,-9.1001075e-06,-0.0011922373,-0.001076004,-0.048702106,5001,5001,0
23952898,23951855,2162698,2162698,9.996527e-07,2.4025036e-05,-2.9718979e-06,-0.0011938955,-0.0009882272,-0.048869368,5001,5001,0
24953417,24952298,2162698,2162698,7.03746e-06,2.1219941e-05,-7.813884e-06,-0.0012382437,-0.000837189,-0.048486415,4985,4985,0
25953810,25952745,2162698,2162698,-1.609333e-05,1.9172974e-05,1.563571e-06,-0.00131217,-0.0011287956,-0.048814137,5006,5006,0
27454524,27453421,2162698,2162698,1.6703525e-06,1.9985715e-05,-9.75137e-07,-0.0011698019,-0.0010507482,-0.048882872,5003,5003,0
28955200,28954086,2162698,2162698,6.3679286e-06,1.9953508e-05,-1.1222602e-06,-0.0011017788,-0.0011743597,-0.048319433,4975,4975,0
29455377,29454319,2162698,2162698,8.681787e-06,2.2820348e-05,-7.552936e-06,-0.0012266956,-0.0010165366,-0.04876618,5007,5007,0
31456326,31455217,2162698,2162698,-2.523369e-07,2.095575e-05,-8.816601e-06,-0.0010131738,-0.001041187,-0.04863058,4988,4988,0
31956590,31955458,2162698,2162698,2.948058e-06,1.5824759e-05,-6.4253317e-07,-0.0011579192,-0.00093101535,-0.048859626,5006,5006,0
32456721,32455669,2162698,2162698,1.0094638e-05,2.2453762e-05,3.4897844e-06,-0.0011051298,-0.0010218073,-0.048688017,5002,5002,0
32956951,32955900,2162698,2162698,-3.8953044e-06,2.0306396e-05,-5.231475e-06,-0.001075249,-0.0009029952,-0.04891896,5004,5004,0
33457167,33456125,2162698,2162698,-2.5922805e-06,1.729803e-05,-2.5753627e-06,-0.0012388254,-0.0011054473,-0.048764806,4999,4999,0
34457671,34456580,2162698,2162698,-1.9086722e-06,2.0824533e-05,2.7697638e-07,-0.0010304197,-0.0011440265,-0.048897915,5001,5001,0
34952882,34951811,2162698,2162698,1.9233853e-06,2.2971322e-05,1.1920927e-06,-0.0011071152,-0.0010725104,-0.0487763,4986,4986,0
35453144,35452040,2162698,2162698,2.4447505e-07,1.8644036e-05,6.538884e-07,-0.0011189223,-0.0011582053,-0.048641313,4993,4993,0
35953365,35952296,2162698,2162698,5.8947244e-06,1.5357224e-05,-2.8084726e-06,-0.0011378933,-0.00087357045,-0.04914211,5030,5030,0
36453725,36452507,2162698,2162698,-6.075069e-07,1.9646792e-05,-6.5185855e-06,-0.0012441168,-0.0009884882,-0.048963897,5011,5011,0
36953913,36952725,2162698,2162698,1.0614469e-06,1.6515793e-05,-3.851015e-06,-0.0010283071,-0.0011269179,-0.04865085,4989,4989,0
37954312,37953189,2162698,2162698,1.0806454e-05,1.9633428e-05,7.909564e-06,-0.001159627,-0.0011225218,-0.04888251,5006,5006,0
38454712,38453426,2162698,2162698,1.0174572e-05,1.6739232e-05,-3.4774546e-06,-0.0011050219,-0.0010619161,-0.048829377,5011,5011,0
39955175,39954114,2162698,2162698,-5.814068e-06,2.0706526e-05,-4.920135e-06,-0.0009909801,-0.0010458878,-0.048673656,4984,4984,0
40455400,40454344,2162698,2162698,3.918133e-06,2.619067e-05,3.1214593e-06,-0.0011787028,-0.0010625735,-0.048875067,4997,4997,0
41455940,41454815,2162698,2162698,5.1314023e-06,1.946495e-05,-5.9909567e-06,-0.001199771,-0.001171043,-0.048737578,4991,4991,0
42956596,42955510,2162698,2162698,1.3436538e-05,1.7828748e-05,-1.7338429e-06,-0.0013852231,-0.0010548481,-0.048560143,5005,5005,0
43957045,43955978,2162698,2162698,4.511436e-06,2.0285437e-05,1.4052307e-06,-0.0011666422,-0.001028297,-0.048593745,4986,4986,0
45457821,45456693,2162698,2162698,1.9833804e-05,1.943163e-05,2.655676e-06,-0.0013137573,-0.00086758554,-0.04895086,5017,5017,0
46953522,46952395,2162698,2162698,-9.1572446e-07,1.5811776e-05,7.8795927e-07,-0.0012714245,-0.0010532074,-0.04884331,5013,5013,0
47453704,47452622,2162698,2162698,1.3218809e-05,1.8492856e-05,-4.722308e-06,-0.0011596469,-0.0010381582,-0.04887762,5004,5004,0
49954892,49953805,2162698,2162698,1.9331808e-06,1.0505939e-05,5.091128e-06,-0.0012251977,-0.0010856763,-0.04890384,5005,5005,0
51955897,51954754,2162698,2162698,-1.3888339e-06,1.9416271e-05,-8.380736e-07,-0.0012031985,-0.0010290487,-0.049015384,5002,5002,0
53956928,53955719,2162698,2162698,3.360287e-06,1.5912367e-05,3.0978842e-06,-0.0012644908,-0.0011004099,-0.04869737,5011,5011,0
54957277,54956196,2162698,2162698,-4.6449154e-06,1.16961655e-05,2.3667992e-06,-0.0011513724,-0.0010995788,-0.04889912,5007,5007,0
55957954,55956681,2162698,2162698,6.461086e-06,1.616639e-05,6.1368114e-06,-0.0011038375,-0.0011663996,-0.049060524,5012,5012,0
57953956,57952637,2162698,2162698,-4.4599124e-06,2.0479967e-05,-1.5683149e-06,-0.0010862679,-0.0011730926,-0.04882387,5006,5006,0
58954354,58953130,2162698,2162698,1.7355799e-07,1.6855716e-05,3.2658495e-06,-0.0010787621,-0.0010065688,-0.04896981,5012,5012,0
60454913,60453845,2162698,2162698,7.873745e-06,1.685627e-05,5.073115e-06,-0.0011900656,-0.0010530917,-0.0489566,5002,5002,0
62455922,62454830,2162698,2162698,7.910661e-06,1.7354267e-05,-1.6822241e-06,-0.0010484232,-0.0010609344,-0.048979226,5013,5013,0
62956164,62955091,2162698,2162698,-4.0745965e-07,1.5704598e-05,3.134516e-06,-0.001083647,-0.0010405534,-0.049271215,5030,5030,0
63456362,63455308,2162698,2162698,6.7466194e-06,1.807967e-05,-2.0111738e-06,-0.0012084281,-0.0009844684,-0.04835118,4987,4987,0
64456977,64455802,2162698,2162698,2.2100512e-06,1.4609957e-05,7.488225e-06,-0.0011636056,-0.0011339367,-0.04889227,5006,5006,0
65957696,65956542,2162698,2162698,2.8464924e-06,2.3911969e-05,5.8451187e-06,-0.0012328802,-0.0010973846,-0.04902724,4999,4999,0
67953796,67952527,2162698,2162698,8.010354e-06,1.3477598e-05,2.2495751e-06,-0.0011459368,-0.0012580421,-0.04900159,5013,5013,0
68453814,68452764,2162698,2162698,1.7969533e-05,1.3837867e-05,-4.3108985e-06,-0.0011770749,-0.0009940654,-0.048944496,5000,5000,0
68954085,68953011,2162698,2162698,1.6922084e-05,2.1528747e-05,4.459211e-06,-0.0011532247,-0.0012226384,-0.04871425,4998,4998,0
69454415,69453265,2162698,2162698,-8.48384e-06,8.243208e-06,-4.0462664e-06,-0.0011301164,-0.0009922194,-0.048676357,4999,4999,0
70454835,70453768,2162698,2162698,7.0748847e-06,1.1892661e-05,-4.9013433e-06,-0.0011229884,-0.001023494,-0.048823662,4985,4985,0
70955118,70954001,2162698,2162698,1.7112861e-06,1.9757876e-05,9.504295e-06,-0.0011930228,-0.00090826134,-0.04872996,4987,4987,0
71955561,71954508,2162698,2162698,-8.320548e-06,1.608796e-05,2.3799698e-06,-0.001040023,-0.001402811,-0.048877,4991,4991,0
72455837,72454749,2162698,2162698,-4.536165e-06,1.4533973e-05,-1.18674e-06,-0.0012398562,-0.0009926858,-0.04871075,4966,4966,0
72956069,72955013,2162698,2162698,-5.431976e-06,1.5601468e-05,-6.6128325e-07,-0.0011007785,-0.001128024,-0.048793,5000,5000,0
73456306,73455249,2162698,2162698,-9.307268e-06,1.7522856e-05,-2.392591e-06,-0.0010119304,-0.001048942,-0.048952293,4994,4994,0
73956619,73955496,2162698,2162698,3.3552874e-06,1.1382225e-05,-1.535258e-07,-0.0010734721,-0.0012073702,-0.048723307,4996,4996,0
76457875,76456745,2162698,2162698,1.098476e-05,2.0169937e-05,4.6708456e-06,-0.001097614,-0.0011238693,-0.04888887,5000,5000,0
76953048,76951994,2162698,2162698,1.03071725e-05,1.6918408e-05,4.0998134e-06,-0.001059241,-0.0011025921,-0.048588697,4980,4980,0
77453367,77452245,2162698,2162698,1.1745352e-05,1.1741829e-05,4.575266e-06,-0.0010918374,-0.0011302939,-0.048514333,4986,4986,0
77953584,77952508,2162698,2162698,1.3874526e-05,2.4307043e-05,3.1788825e-06,-0.0011979174,-0.0010390911,-0.048817243,5012,5012,0
78453807,78452760,2162698,2162698,-4.5232737e-06,1.687045e-05,4.4901222e-07,-0.0013243385,-0.0010602673,-0.048757985,5012,5012,0
78954044,78952999,2162698,2162698,-6.103279e-06,1.70435e-05,8.741699e-06,-0.0011111227,-0.0011618563,-0.04886735,5000,5000,0
79454430,79453289,2162698,2162698,2.9810255e-06,1.5272084e-05,2.7499116e-06,-0.0012239222,-0.0009840727,-0.04909608,5038,5038,0
80955069,80954008,2162698,2162698,1.0856428e-05,7.583808e-06,1.0059973e-06,-0.0010473443,-0.0010810018,-0.048598543,4994,4994,0
81455319,81454269,2162698,2162698,1.707252e-05,1.1252244e-05,-3.6060912e-06,-0.0011570362,-0.0009325856,-0.048820473,5007,5007,0
