timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,latest_arming_reason,latest_disarming_reason
2534643,1872107,302383167,304152639,393263,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3035533,1872107,302383167,304152639,393279,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3537519,1872107,302383167,304152639,393279,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4042517,1872107,302383167,304152639,393279,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5567681,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
6076457,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
8107199,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
8614476,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
9635293,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10532897,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11035376,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11541660,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
12554004,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
13062478,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
13567291,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
14571567,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
15575322,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
16589339,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
17091310,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
18613602,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
19116781,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
19625340,1872107,304480319,304152639,2490399,0,1,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
