#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
394703260,-0.011931695,-0.0035788442,0.008028254,1.5076914,0.17510697,-9.594889
394803366,0.0033978168,-0.0033833333,0.0009162266,1.5657722,0.17406903,-9.593848
395704309,0.0053808033,-0.0059644487,0.01572488,1.5703429,0.16358028,-9.606054
396619796,0.040353466,-0.004933697,0.01465347,1.5761737,0.25129128,-9.59971
397625669,0.0004254045,-0.004843738,0.0091157975,1.5363605,0.20068333,-9.592553
398626500,0.0032408978,-0.0041719517,0.0033567282,1.5284746,0.20759192,-9.585385
399632406,0.0041827215,-0.0019401587,-0.0041520847,1.5186279,0.29592854,-9.599727
400658154,-0.026548145,-0.002006351,-0.008565019,1.5036445,0.13670869,-9.58068
401668900,-0.014007169,-0.0061745825,0.017985936,1.5681818,0.15769443,-9.599911
402669728,0.0027255584,-0.0033273618,0.009565076,1.5606294,0.2037215,-9.622596
403670575,0.0065810904,-0.0055072457,0.011058071,1.5720452,0.1378095,-9.606384
404676474,0.012941248,-0.0032662686,0.0067633237,1.540644,0.18199837,-9.589394
405692213,-0.00893305,-0.0039147306,0.011353294,1.5236068,0.16940147,-9.595723
406703062,0.004575259,-0.0028900732,0.0127748335,1.4990526,0.16543655,-9.594921
407713958,-0.025383947,-0.0042461217,-0.004040786,1.5646751,0.085443676,-9.603397
408619598,0.020611482,-0.0024089809,-0.0017990178,1.5395682,0.18325104,-9.616188
409620413,0.0046533975,-0.0021978677,0.0035253225,1.5301572,0.1824185,-9.585698
410621346,-0.005534375,-0.0038647486,0.0070814127,1.5489565,0.16010517,-9.612314
412632851,-0.0033963902,-0.002822852,0.0008131898,1.5131478,0.13221215,-9.601859
413643696,0.00031183907,-0.0028432522,0.0027586427,1.542166,0.12916218,-9.605477
414659574,0.0011632921,-0.005397413,0.011565631,1.5667447,0.13976102,-9.608662
