timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
394709954,2.853321,2.974355,33.048363,1.0
394742253,2.9266832,3.050829,33.048363,1.0
394753227,3.1311622,3.2639816,33.048363,1.0
394764011,3.2383828,3.375712,33.048363,1.0
394774766,3.2536573,3.3916342,33.048363,1.0
394785828,3.177428,3.3121722,33.048363,1.0
394796615,3.0442123,3.1743197,33.24377,1.0
394807346,2.9498804,3.075956,33.24377,1.0
394818274,2.8897586,3.0133333,33.24377,1.0
394829030,2.821048,2.9416845,33.24377,1.0
394839797,2.7515314,2.869195,33.24377,1.0
394850805,2.686616,2.8015037,33.24377,1.0
394861639,2.700879,2.816341,33.24377,1.0
394872392,2.8623564,2.9847214,33.24377,1.0
394883323,3.08968,3.2217631,33.24377,1.0
394894080,3.302968,3.444169,33.24377,1.0
394904854,3.5132217,3.662827,33.14607,1.0
394915973,3.725302,3.8839383,33.14607,1.0
394926736,3.9185648,4.085369,33.14607,1.0
394937482,4.083702,4.257536,33.14607,1.0
394948431,4.1728325,4.3504605,33.14607,1.0
394959236,4.142682,4.3190265,33.14607,1.0
394969977,4.015714,4.1867065,33.14607,1.0
394980896,3.8029976,3.9649324,33.14607,1.0
394991796,3.5105405,3.6600223,33.14607,1.0
395002537,3.1704464,3.3054466,33.14607,1.0
395013472,2.8065302,2.9260347,33.14607,1.0
395024270,2.479008,2.584576,33.14607,1.0
395035017,2.2461364,2.3417876,33.14607,1.0
395045967,2.1471455,2.2385812,33.14607,1.0
395056718,2.1930676,2.2864587,33.14607,1.0
395067494,2.286288,2.383649,33.14607,1.0
395078531,2.361909,2.4624903,33.14607,1.0
395089276,2.456014,2.5605805,33.14607,1.0
395100023,2.6256063,2.7373934,33.14607,1.0
395111007,2.8253849,2.9456778,33.14607,1.0
395121809,2.9581304,3.084075,33.14607,1.0
395132629,2.9726431,3.0992367,33.14607,1.0
395143589,2.9117937,3.035796,33.14607,1.0
395154362,2.8410232,2.9620116,33.14607,1.0
395165136,2.731027,2.847331,33.14607,1.0
395176088,2.6005542,2.711302,33.14607,1.0
395186838,2.505405,2.612097,33.14607,1.0
395197597,2.3995483,2.5017326,33.14607,1.0
395208648,2.247647,2.3433626,33.14607,1.0
395219406,2.118955,2.2091901,33.14607,1.0
395241105,2.0214825,2.107591,33.14607,1.0
395251840,1.9309068,2.0131571,33.14607,1.0
395262649,1.9153099,1.9968958,33.14607,1.0
395273714,2.095431,2.1846895,33.14607,1.0
395284443,2.3204544,2.419298,33.14607,1.0
395295216,2.5030673,2.6096666,33.14607,1.0
395306219,2.7486439,2.865702,33.14607,1.0
395316942,3.0005574,3.1283438,33.14607,1.0
395327707,3.1440487,3.277946,33.14607,1.0
395338797,3.187483,3.32323,33.14607,1.0
395349550,3.1331863,3.2665467,33.14607,1.0
395360290,2.9829125,3.1098766,33.14607,1.0
395371208,2.8089392,2.9284983,33.14607,1.0
395381939,2.667147,2.780671,33.14607,1.0
395392676,2.5588746,2.6673648,33.048363,1.0
395447227,2.7273073,2.8430138,33.048363,1.0
395457974,2.8436701,2.9642644,33.048363,1.0
395468778,2.9846616,3.1112351,33.048363,1.0
395479523,3.0312898,3.1598408,33.048363,1.0
395490238,2.9878213,3.1150258,33.14607,1.0
395500985,2.9233084,3.0477662,33.14607,1.0
395511807,2.8126993,2.9324627,33.14607,1.0
395522564,2.6768363,2.7908146,33.14607,1.0
395533330,2.5719817,2.6814954,33.14607,1.0
395544059,2.4550629,2.5595982,33.14607,1.0
395554781,2.2925558,2.3901718,33.14607,1.0
395565561,2.1529968,2.2446678,33.14607,1.0
395576481,2.048473,2.1356936,33.14607,1.0
395587205,1.9329056,2.0152054,33.14607,1.0
395597932,1.8633379,1.9426757,33.14607,1.0
395608887,1.8781164,1.9580834,33.14607,1.0
