timestamp,indicated_airspeed_m_s,calibrated_airspeed_m_s,true_airspeed_m_s,calibrated_ground_minus_wind_m_s,true_ground_minus_wind_m_s,airspeed_sensor_measurement_valid,selected_airspeed_index
394627506,2.993155,2.993155,3.1206691,0.13692085,0.14707515,1,1
394827549,2.8897586,2.8897586,3.0133333,0.13738652,0.14757459,1,1
395027515,2.8065302,2.8065302,2.9260457,0.1374441,0.14763476,1,1
395227517,2.118955,2.118955,2.2091901,0.13665962,0.14678986,1,1
395427499,2.580904,2.580904,2.6903992,0.1363219,0.14642803,1,1
395627553,1.997509,1.997509,2.0825698,0.13558128,0.14562917,1,1
395827510,2.0010695,2.0010695,2.08596,0.13647212,0.14658676,1,1
396027555,2.7530408,2.7530408,2.8703036,0.13540618,0.14544256,1,1
396227522,2.6938875,2.6938875,2.8085887,0.13176642,0.1415287,1,1
396427510,3.3123093,3.3123093,3.4528518,0.13208382,0.14187211,1,1
396627509,3.2132237,3.2132237,3.3500922,0.1310533,0.14076506,1,1
396827508,2.3702004,2.3702004,2.4711692,0.12876381,0.1383043,1,1
397027623,2.19908,2.19908,2.29271,0.12841599,0.13792774,1,1
397227777,1.261536,1.261536,1.3152467,0.12644792,0.13581373,1,1
397627516,3.1639295,3.1639295,3.2986274,0.12017459,0.12907344,1,1
397827509,4.4497504,4.4497504,4.6392484,0.118568294,0.12734981,1,1
398027510,3.7145097,3.7145097,3.8726232,0.11607781,0.124670595,1,1
398227559,3.336779,3.336779,3.4788313,0.11458098,0.12306358,1,1
398427561,3.7172284,3.7172284,3.8760707,0.113263346,0.121647626,1,1
398627510,2.608646,2.608646,2.7201548,0.11099572,0.11921379,1,1
398827510,4.039893,4.039893,4.2118783,0.10847365,0.116502315,1,1
399027499,3.0757418,3.0757418,3.2067258,0.10684376,0.11475338,1,1
399427538,3.2759843,3.2759843,3.4154704,0.09990919,0.10730298,1,1
399627493,4.9881587,4.9881587,5.200506,0.09857105,0.10586501,1,1
399827623,4.0177007,4.0177007,4.1893826,0.0968016,0.103964105,1,1
400427499,4.043698,4.043698,4.2165704,0.09529382,0.10234513,1,1
400627512,3.8626487,3.8626487,4.027715,0.09388053,0.1008256,1,1
401027514,3.9983234,3.9983234,4.1684756,0.08955895,0.09618323,1,1
401227545,4.227031,4.227031,4.4068604,0.089715295,0.09634844,1,1
401427509,4.6772676,4.6772676,4.8764176,0.09269202,0.09954712,1,1
401627509,4.03263,4.03263,4.2049184,0.092072845,0.09888015,1,1
401827507,4.021867,4.021867,4.1937003,0.091489315,0.09825361,1,1
402027509,3.811522,3.811522,3.9737148,0.08784572,0.09433869,1,1
402227510,4.740811,4.740811,4.942635,0.08668065,0.09308915,1,1
402427511,3.1223361,3.1223361,3.2552388,0.08198891,0.088049985,1,1
402627509,4.275018,4.275018,4.457707,0.08229071,0.08837432,1,1
403027539,4.2182894,4.2182894,4.39778,0.08138524,0.087399125,1,1
403227648,1.6630738,1.6630738,1.7338321,0.08152439,0.08754688,1,1
403427793,0.5133807,0.5133807,0.53521734,0.081521384,0.08754266,1,1
403627499,2.3479314,2.3479314,2.4478314,0.07930292,0.08516142,1,1
403827513,3.1530688,3.1530688,3.2877831,0.08037651,0.08631387,1,1
404027545,3.5845115,3.5845115,3.7371194,0.08114484,0.087140255,1,1
404227507,3.9016218,3.9016218,4.0676894,0.08252548,0.08862202,1,1
404427624,4.142673,4.142673,4.318946,0.08081539,0.086784504,1,1
404627504,3.7910073,3.7910073,3.9529274,0.08118653,0.08718128,1,1
404827556,3.8837779,3.8837779,4.0490656,0.08062888,0.0865822,1,1
405027504,3.4863844,3.4863844,3.6346178,0.0809141,0.08688509,1,1
405227504,3.3950555,3.3950555,3.540082,0.081207365,0.08720275,1,1
405427499,4.2188945,4.2188945,4.398317,0.08003127,0.08593666,1,1
405627507,4.071971,4.071971,4.2458706,0.08263168,0.088729955,1,1
405827518,3.9212656,3.9212656,4.088108,0.08185031,0.087891586,1,1
406027499,4.344472,4.344472,4.5299916,0.08190371,0.08794657,1,1
406227590,4.205426,4.205426,4.385063,0.08195001,0.08799739,1,1
406427513,4.4499335,4.4499335,4.640027,0.0801288,0.08604201,1,1
406627510,4.710345,4.710345,4.9107356,0.08268193,0.08878277,1,1
406827514,4.1883426,4.1883426,4.3665423,0.08290282,0.089018926,1,1
407227510,3.0497496,3.0497496,3.1794782,0.08022639,0.08614296,1,1
407427503,3.224985,3.224985,3.3627293,0.0820414,0.08809248,1,1
407627499,1.7402127,1.7402127,1.8145448,0.08243786,0.08851705,1,1
407827516,3.9937878,3.9937878,4.164259,0.080740176,0.086691655,1,1
408027517,3.2175567,3.2175567,3.3549247,0.08228833,0.08835335,1,1
408227557,3.4153535,3.4153535,3.5605848,0.08211605,0.08816804,1,1
408427557,3.9032848,3.9032848,4.0692186,0.08112193,0.08709833,1,1
408627561,3.6201236,3.6201236,3.774086,0.08128152,0.08727121,1,1
408827507,3.0986593,3.0986593,3.2304606,0.08114527,0.08712536,1,1
409027499,2.4060879,2.4060879,2.5083988,0.08311818,0.08924254,1,1
409227605,3.4985216,3.4985216,3.6479354,0.08502201,0.09128837,1,1
409427700,3.64288,3.64288,3.7977433,0.08453529,0.09076176,1,1
409627517,3.300933,3.300933,3.4412856,0.08751977,0.09396532,1,1
409827511,2.9815738,2.9815738,3.1083164,0.087362535,0.09379556,1,1
410027520,3.9784071,3.9784071,4.1475186,0.090710595,0.09739003,1,1
410227513,3.8827672,3.8827672,4.0478435,0.08998338,0.09660852,1,1
