timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
394712139,-22,32767,32767,32767,32767,32767
394742161,1,32767,32767,32767,32767,32767
394747164,32767,32767,32767,32767,32767,32767
394752169,11,32767,32767,32767,-23,32767
394757176,32767,32767,32767,32767,32767,32767
394762176,32767,32767,32767,-34,32767,32767
394767181,-31,32767,32767,32767,32767,32767
394772198,32767,32767,32767,32767,-13,32767
394777199,-24,32767,32767,32767,32767,32767
394782218,32767,32767,32767,32767,32767,32767
394787199,-13,32767,32767,32767,32767,32767
394792212,32767,32767,32767,32767,-5,32767
394797221,-6,32767,32767,32767,32767,32767
394802229,32767,32767,32767,32767,32767,32767
394807213,1,32767,32767,32767,32767,32767
394812222,32767,32767,32767,-31,11,32767
394817226,10,32767,32767,32767,32767,32767
394822226,32767,32767,32767,32767,32767,32767
394827230,32767,32767,32767,32767,32767,32767
394832238,-32,32767,32767,32767,11,32767
394837245,32767,32767,32767,32767,32767,32767
394842242,-25,32767,32767,32767,32767,32767
394847246,32767,32767,32767,32767,32767,32767
394852254,-14,32767,32767,32767,32767,32767
394857255,32767,32767,32767,32767,-24,32767
394862264,-6,32767,32767,-29,32767,32767
394867294,32767,32767,32767,32767,32767,32767
394872274,1,32767,32767,32767,32767,32767
394877271,32767,32767,32767,32767,-12,32767
394882275,11,32767,32767,32767,32767,32767
394887301,32767,32767,32767,32767,32767,32767
394892287,32767,32767,32767,32767,32767,32767
394897292,-32,32767,32767,32767,-4,32767
394902294,32767,32767,32767,32767,32767,32767
394907296,-24,32767,32767,32767,32767,32767
394912303,32767,32767,32767,32767,32767,32767
394917304,-14,32767,32767,32767,11,32767
394922310,32767,32767,32767,-26,32767,32767
394927312,-6,32767,32767,32767,32767,32767
394932324,32767,32767,32767,32767,32767,32767
394937326,1,32767,32767,32767,11,32767
394942328,32767,32767,32767,32767,32767,32767
394947328,11,32767,32767,32767,32767,32767
394952352,32767,32767,32767,32767,32767,32767
394957336,32767,32767,32767,32767,14,32767
394962345,-31,32767,32767,32767,32767,32767
394967344,32767,32767,32767,32767,32767,32767
394972353,-24,32767,32767,-14,32767,32767
394977353,32767,32767,32767,32767,32767,32767
394982366,-15,32767,32767,32767,-26,32767
394987361,32767,32767,32767,32767,32767,32767
394992369,-6,32767,32767,32767,32767,32767
394997376,32767,32767,32767,32767,32767,32767
395002375,2,32767,32767,32767,-14,32767
395007377,32767,32767,32767,32767,32767,32767
395012390,11,32767,32767,32767,32767,32767
395017411,32767,32767,32767,32767,32767,32767
395022404,32767,32767,32767,-13,-7,32767
395027412,-32,32767,32767,32767,32767,32767
395032409,32767,32767,32767,32767,32767,32767
395037434,-24,32767,32767,32767,32767,32767
395042415,32767,32767,32767,32767,11,32767
395047413,-15,32767,32767,32767,32767,32767
395052414,32767,32767,32767,32767,32767,32767
395057419,-7,32767,32767,32767,32767,32767
395067447,0,32767,32767,32767,32767,32767
395072435,32767,32767,32767,32767,32767,32767
395077439,11,32767,32767,32767,32767,32767
395082451,32767,32767,32767,-8,32767,32767
395087447,32767,32767,32767,32767,-27,32767
395092460,-32,32767,32767,32767,32767,32767
395097462,32767,32767,32767,32767,32767,32767
395102470,-24,32767,32767,32767,32767,32767
395107470,32767,32767,32767,32767,-13,32767
395112466,-14,32767,32767,32767,32767,32767
395117470,32767,32767,32767,32767,32767,32767
395122484,-6,32767,32767,32767,32767,32767
395127480,32767,32767,32767,32767,-7,32767
395132483,2,32767,32767,-5,32767,32767
395137490,32767,32767,32767,32767,32767,32767
395142488,11,32767,32767,32767,32767,32767
395147496,32767,32767,32767,32767,12,32767
395152501,32767,32767,32767,32767,32767,32767
395157503,-32,32767,32767,32767,32767,32767
395162504,32767,32767,32767,32767,32767,32767
395167516,-24,32767,32767,32767,12,32767
395172515,32767,32767,32767,32767,32767,32767
395177520,-15,32767,32767,32767,32767,32767
395182531,32767,32767,32767,-3,32767,32767
395187556,-7,32767,32767,32767,32767,32767
395192529,32767,32767,32767,32767,-28,32767
395197536,0,32767,32767,32767,32767,32767
395202537,32767,32767,32767,32767,32767,32767
395207545,11,32767,32767,32767,32767,32767
395217553,32767,32767,32767,32767,32767,32767
395222558,-31,32767,32767,32767,32767,32767
395242569,-14,32767,32767,0,32767,32767
395247573,32767,32767,32767,32767,32767,32767
395252576,-7,32767,32767,32767,32767,32767
395257589,32767,32767,32767,32767,-27,32767
395262606,0,32767,32767,32767,32767,32767
395267589,32767,32767,32767,32767,32767,32767
395272597,12,32767,32767,32767,32767,32767
395277598,32767,32767,32767,32767,-12,32767
395282624,32767,32767,32767,32767,32767,32767
395287606,-32,32767,32767,32767,32767,32767
395292610,32767,32767,32767,12,32767,32767
395297614,-24,32767,32767,32767,-8,32767
395302622,32767,32767,32767,32767,32767,32767
395307622,-14,32767,32767,32767,32767,32767
395312626,32767,32767,32767,32767,32767,32767
395317630,-7,32767,32767,32767,12,32767
395322645,32767,32767,32767,32767,32767,32767
395327638,1,32767,32767,32767,32767,32767
395332642,32767,32767,32767,32767,32767,32767
395337646,11,32767,32767,32767,12,32767
395342651,32767,32767,32767,14,32767,32767
395347655,32767,32767,32767,32767,32767,32767
395352659,-31,32767,32767,32767,32767,32767
395357663,32767,32767,32767,32767,32767,32767
395362667,-24,32767,32767,32767,32767,32767
395367671,32767,32767,32767,32767,32767,32767
395372675,-14,32767,32767,32767,-34,32767
395377679,32767,32767,32767,32767,32767,32767
395382689,-7,32767,32767,32767,32767,32767
395387688,32767,32767,32767,32767,32767,32767
395392692,0,32767,32767,32767,-23,32767
395447737,-5,32767,32767,32767,32767,32767
395452741,32767,32767,32767,32767,11,32767
395457745,2,32767,32767,-30,32767,32767
395462749,32767,32767,32767,32767,32767,32767
395467753,10,32767,32767,32767,32767,32767
395472757,32767,32767,32767,32767,15,32767
395477765,32767,32767,32767,32767,32767,32767
395482765,-32,32767,32767,32767,32767,32767
395487769,32767,32767,32767,32767,32767,32767
395492773,-25,32767,32767,32767,32767,32767
395497778,32767,32767,32767,32767,-23,32767
395502782,-18,32767,32767,32767,32767,32767
395507797,32767,32767,32767,-27,32767,32767
395512797,-9,32767,32767,32767,32767,32767
395517805,32767,32767,32767,32767,-14,32767
395522805,-3,32767,32767,32767,32767,32767
395527802,32767,32767,32767,32767,32767,32767
395532806,5,32767,32767,32767,32767,32767
395537815,32767,32767,32767,32767,-5,32767
395542818,12,32767,32767,32767,32767,32767
395547819,32767,32767,32767,32767,32767,32767
395552823,32767,32767,32767,32767,32767,32767
395557827,-31,32767,32767,32767,11,32767
395562833,32767,32767,32767,32767,32767,32767
395567835,-23,32767,32767,-24,32767,32767
395572839,32767,32767,32767,32767,32767,32767
395577847,-14,32767,32767,32767,12,32767
395582847,32767,32767,32767,32767,32767,32767
395587852,-6,32767,32767,32767,32767,32767
395592857,32767,32767,32767,32767,32767,32767
395597860,1,32767,32767,32767,32767,32767
395602864,32767,32767,32767,32767,-26,32767
395607868,10,32767,32767,32767,32767,32767
395612872,32767,32767,32767,32767,32767,32767
395617876,32767,32767,32767,-11,32767,32767
395622880,-32,32767,32767,32767,-14,32767
395627884,32767,32767,32767,32767,32767,32767
395632888,-25,32767,32767,32767,32767,32767
395637893,32767,32767,32767,32767,32767,32767
395642901,-19,32767,32767,32767,-14,32767
395647901,32767,32767,32767,32767,32767,32767
395652905,-10,32767,32767,32767,32767,32767
395657917,32767,32767,32767,32767,32767,32767
395662913,-2,32767,32767,32767,-7,32767
395667917,32767,32767,32767,-9,32767,32767
395672921,5,32767,32767,32767,32767,32767
395677939,32767,32767,32767,32767,32767,32767
395682929,13,32767,32767,32767,11,32767
395687934,32767,32767,32767,32767,32767,32767
395692937,32767,32767,32767,32767,32767,32767
395697942,-30,32767,32767,32767,32767,32767
395702946,32767,32767,32767,32767,13,32767
395707950,-22,32767,32767,32767,32767,32767
395712954,32767,32767,32767,32767,32767,32767
395717962,-13,32767,32767,32767,32767,32767
395722962,32767,32767,32767,32767,32767,32767
395727966,-6,32767,32767,-5,-27,32767
395732970,32767,32767,32767,32767,32767,32767
395737974,2,32767,32767,32767,32767,32767
395743021,32767,32767,32767,32767,32767,32767
395747986,11,32767,32767,32767,-13,32767
395752987,32767,32767,32767,32767,32767,32767
395757998,32767,32767,32767,32767,32767,32767
395762995,-31,32767,32767,32767,32767,32767
395767999,32767,32767,32767,32767,-7,32767
395773014,-25,32767,32767,32767,32767,32767
395778014,32767,32767,32767,-2,32767,32767
395783011,-15,32767,32767,32767,32767,32767
395788015,32767,32767,32767,32767,10,32767
395793022,-8,32767,32767,32767,32767,32767
395798024,32767,32767,32767,32767,32767,32767
395803028,-1,32767,32767,32767,32767,32767
395808032,32767,32767,32767,32767,12,32767
395813036,7,32767,32767,32767,32767,32767
395818040,32767,32767,32767,32767,32767,32767
395823044,32767,32767,32767,32767,32767,32767
395828048,-33,32767,32767,-1,32767,32767
395833053,32767,32767,32767,32767,-28,32767
395838056,-26,32767,32767,32767,32767,32767
395843060,32767,32767,32767,32767,32767,32767
395848064,-18,32767,32767,32767,32767,32767
395853075,32767,32767,32767,32767,-14,32767
395858077,-9,32767,32767,32767,32767,32767
395863077,32767,32767,32767,32767,32767,32767
395868090,-2,32767,32767,32767,32767,32767
395873092,32767,32767,32767,32767,-8,32767
395878096,6,32767,32767,32767,32767,32767
395883093,32767,32767,32767,32767,32767,32767
395888097,32767,32767,32767,12,32767,32767
395893109,-35,32767,32767,32767,11,32767
395898107,32767,32767,32767,32767,32767,32767
395903110,-27,32767,32767,32767,32767,32767
395908114,32767,32767,32767,32767,32767,32767
395913118,-20,32767,32767,32767,32767,32767
395918122,32767,32767,32767,32767,32767,32767
395923126,-10,32767,32767,32767,32767,32767
395928130,32767,32767,32767,32767,-34,32767
395933141,-2,32767,32767,32767,32767,32767
395938138,32767,32767,32767,14,32767,32767
395943142,5,32767,32767,32767,32767,32767
395948146,32767,32767,32767,32767,-24,32767
395953151,32767,32767,32767,32767,32767,32767
395958155,-35,32767,32767,32767,32767,32767
395963159,32767,32767,32767,32767,32767,32767
395968163,-27,32767,32767,32767,-4,32767
395973167,32767,32767,32767,32767,32767,32767
395978278,-21,32767,32767,32767,32767,32767
395983175,32767,32767,32767,32767,32767,32767
395988179,-13,32767,32767,16,11,32767
395993184,32767,32767,32767,32767,32767,32767
395998188,-5,32767,32767,32767,32767,32767
396003191,32767,32767,32767,32767,32767,32767
396008206,1,32767,32767,32767,16,32767
396013200,32767,32767,32767,32767,32767,32767
396018204,10,32767,32767,32767,32767,32767
396023208,32767,32767,32767,32767,32767,32767
396028214,32767,32767,32767,32767,32767,32767
396033216,-33,32767,32767,32767,-25,32767
396038220,32767,32767,32767,32767,32767,32767
396043224,-26,32767,32767,32767,32767,32767
396048229,32767,32767,32767,32767,32767,32767
396053233,-18,32767,32767,-32,-14,32767
396058237,32767,32767,32767,32767,32767,32767
396063247,-9,32767,32767,32767,32767,32767
