timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
394715892,62.589844,4142.5537,0,27,7121,8192,0,3,153
395717324,300.15918,295.27502,8,42,7698,8192,0,3,153
396717787,544.0,269.7075,14,42,8070,8192,0,3,153
398719126,988.3428,245.9578,26,43,6537,8192,0,3,153
399719874,1231.6885,245.4007,35,46,738,8192,0,3,153
400720298,1408.0,233.90585,41,46,5197,8192,0,3,153
401721096,1606.7383,228.86989,46,46,729,8192,0,3,153
402721148,1856.0,231.41092,53,52,6798,8192,0,3,153
403721423,2112.0,234.12973,58,63,6279,8192,0,3,153
404721844,2368.0,236.30232,61,73,6656,8192,0,3,153
405722712,2624.0,238.07085,68,79,4031,8192,0,3,153
406723711,2880.0,239.54231,71,87,2975,8192,0,3,153
407724372,3112.0,238.95103,82,92,7514,8192,0,3,153
408725252,3376.0,240.72212,87,92,2440,8192,0,3,153
409726101,3631.46,241.68938,96,92,1274,8192,0,3,153
410727147,3885.0947,242.41896,101,95,2503,8192,0,3,153
412728641,4392.0,243.62296,113,95,3428,8192,0,3,153
413729561,4648.0,244.26161,117,95,4406,8192,0,3,153
414730430,4902.3867,244.7565,127,98,3350,8192,0,3,153
415730964,5164.2266,245.56264,128,100,1947,8192,0,3,153
416731740,5372.828,243.87631,149,100,8184,8192,0,3,153
417732714,5612.342,243.67654,167,101,1923,8192,0,3,153
418733653,5868.3193,244.17888,175,107,1947,8192,0,3,153
419734149,6120.0,244.47371,185,108,4357,8192,0,3,153
420734975,6380.576,245.08447,190,108,1952,8192,0,3,153
421736071,6624.0,245.0131,195,108,4627,8192,0,3,153
422736752,6876.8613,245.28711,203,108,3206,8192,0,3,153
423737478,7136.0,245.758,208,109,2200,8192,0,3,153
424738319,7389.1807,245.99821,216,109,3312,8192,0,3,153
425739312,7648.0,246.40344,222,109,2967,8192,0,3,153
426739856,7900.5625,246.59148,226,109,4613,8192,0,3,153
427741232,8157.1396,246.88344,233,109,5172,8192,0,3,153
428741562,8416.0,247.23288,237,109,4959,8192,0,3,153
429743583,8663.263,247.21947,247,228,2044,8192,0,3,153
430744617,8876.287,246.26369,257,559,4006,8192,0,3,153
431745116,9092.073,245.43764,266,892,3390,8192,0,3,153
432745148,9301.511,244.49117,279,1222,4406,8192,0,3,153
433746421,9524.489,243.9322,286,1558,3515,8192,0,3,153
434746761,9732.537,243.03409,306,1887,3847,8192,0,3,153
435746788,9948.292,242.36932,320,2216,7097,8192,0,3,153
436748200,10168.0,241.82225,329,2552,3218,8192,0,3,153
437748437,10384.0,241.22104,337,2874,7417,8192,0,3,153
438749019,10604.737,240.75284,350,3203,4485,8192,0,3,153
439749393,10824.0,240.27379,358,3532,4359,8192,0,3,153
440750071,11068.696,240.36629,363,3658,6373,8192,0,3,153
441750743,11312.0,240.42528,377,3658,4603,8192,0,3,153
442751347,11552.0,240.4134,384,3861,4190,8192,0,3,153
443752220,11764.04,239.83069,397,4183,5197,8192,0,3,153
444753741,11980.237,239.35121,406,4522,1378,8192,0,3,153
445754345,12192.0,238.80803,420,4851,2311,8192,0,3,153
446754701,12412.358,238.45195,430,5180,729,8192,0,3,153
447755682,12628.019,238.01794,437,5517,5795,8192,0,3,153
448756301,12844.224,237.6117,452,5839,5839,8192,0,3,153
449756921,13052.26,237.07184,473,6175,2161,8192,0,3,153
450757070,13272.0,236.76202,481,6505,3718,8192,0,3,153
451757998,13492.259,236.46893,490,6835,2014,8192,0,3,153
452758124,13700.3125,235.97899,505,7165,1947,8192,0,3,153
453758177,13916.961,235.65146,514,7494,6301,8192,0,3,153
454759962,14120.0,235.10144,525,7830,2622,8192,0,3,153
455760148,14328.0,234.65689,542,8159,5594,8192,0,3,153
456760365,14548.304,234.42477,544,8489,6932,8192,0,3,153
457761529,14764.174,234.12624,563,8827,5675,8192,0,3,153
458762009,14989.06,233.98021,568,9158,1947,8192,0,3,153
459762634,15192.0,233.50089,578,9487,3957,8192,0,3,153
460762752,15412.108,233.29774,583,9816,3798,8192,0,3,153
461763374,15630.279,233.07002,594,10154,2650,8192,0,3,153
462763648,15852.299,232.90674,606,10487,729,8192,0,3,153
463763723,16064.0,232.59941,619,10816,4226,8192,0,3,153
464764402,16284.932,232.43065,630,11145,7968,8192,0,3,153
465765733,16508.055,232.2953,636,11474,1318,8192,0,3,153
466765986,16716.86,231.96854,650,11803,762,8192,0,3,153
467766020,16933.562,231.75949,656,12132,1251,8192,0,3,153
468766681,17144.0,231.46956,672,12461,3152,8192,0,3,153
469767611,17360.0,231.26057,689,12796,5310,8192,0,3,153
470768391,17580.188,231.11267,700,13126,6597,8192,0,3,153
471768712,17804.371,231.0218,712,13455,2165,8192,0,3,153
472769238,18013.512,230.73994,726,13784,3306,8192,0,3,153
473769430,18229.041,230.54701,733,14107,6449,8192,0,3,153
474770510,18444.033,230.34966,744,14443,6533,8192,0,3,153
475770850,18669.158,230.28424,762,14765,762,8192,0,3,153
476770990,18880.0,230.04694,772,15094,5721,8192,0,3,153
477771007,19092.031,229.83002,787,15423,4633,8192,0,3,153
478771793,19304.0,229.61542,791,15752,5257,8192,0,3,153
479773058,19518.004,229.4285,801,16081,4169,8192,0,3,153
480773151,19740.307,229.34547,807,16403,4382,8192,0,3,153
481773225,19956.39,229.19296,814,16734,6370,8192,0,3,153
482774784,20176.0,229.08008,822,17070,4819,8192,0,3,153
483775174,20389.46,228.90372,835,17394,3160,8192,0,3,153
484775591,20608.0,228.78761,843,17728,4628,8192,0,3,153
485775631,20820.373,228.60728,850,18057,4382,8192,0,3,153
