timestamp,safety_switch_available,safety_off,override_available,override_enabled
394139822,1,1,1,0
395151083,1,1,1,0
396161325,1,1,1,0
397181872,1,1,1,0
398197079,1,1,1,0
399198160,1,1,1,0
400198639,1,1,1,0
401205335,1,1,1,0
402210289,1,1,1,0
403231314,1,1,1,0
404247345,1,1,1,0
405252865,1,1,1,0
406273556,1,1,1,0
407290603,1,1,1,0
408310893,1,1,1,0
409312047,1,1,1,0
410326983,1,1,1,0
411343718,1,1,1,0
412358731,1,1,1,0
413379705,1,1,1,0
414387150,1,1,1,0
415406565,1,1,1,0
416417621,1,1,1,0
417438899,1,1,1,0
418439638,1,1,1,0
419440354,1,1,1,0
420450893,1,1,1,0
422482656,1,1,1,0
423487659,1,1,1,0
424498642,1,1,1,0
425505830,1,1,1,0
426506097,1,1,1,0
427521036,1,1,1,0
428531686,1,1,1,0
429542423,1,1,1,0
430549200,1,1,1,0
431564624,1,1,1,0
432585909,1,1,1,0
433596374,1,1,1,0
434607791,1,1,1,0
435627976,1,1,1,0
436647884,1,1,1,0
437664242,1,1,1,0
438685040,1,1,1,0
439690802,1,1,1,0
440706396,1,1,1,0
441711824,1,1,1,0
442731713,1,1,1,0
443748273,1,1,1,0
444758720,1,1,1,0
445759219,1,1,1,0
446785456,1,1,1,0
447805933,1,1,1,0
448826614,1,1,1,0
449842448,1,1,1,0
450867490,1,1,1,0
451868311,1,1,1,0
452883681,1,1,1,0
453909515,1,1,1,0
454910037,1,1,1,0
455930478,1,1,1,0
456941123,1,1,1,0
457951910,1,1,1,0
458967461,1,1,1,0
459973014,1,1,1,0
460983359,1,1,1,0
462013916,1,1,1,0
463024927,1,1,1,0
464025339,1,1,1,0
465030492,1,1,1,0
466036172,1,1,1,0
467036730,1,1,1,0
468037120,1,1,1,0
469047066,1,1,1,0
470057594,1,1,1,0
471058179,1,1,1,0
472074050,1,1,1,0
473074732,1,1,1,0
474080245,1,1,1,0
475110963,1,1,1,0
476131869,1,1,1,0
477151377,1,1,1,0
478151646,1,1,1,0
479172289,1,1,1,0
480173504,1,1,1,0
481173527,1,1,1,0
482184875,1,1,1,0
483209852,1,1,1,0
484235994,1,1,1,0
485266244,1,1,1,0
486266481,1,1,1,0
487277155,1,1,1,0
488297041,1,1,1,0
489307612,1,1,1,0
490308633,1,1,1,0
491328576,1,1,1,0
492348948,1,1,1,0
493369781,1,1,1,0
494370418,1,1,1,0
495371059,1,1,1,0
496401679,1,1,1,0
497421750,1,1,1,0
498432549,1,1,1,0
499439023,1,1,1,0
500452739,1,1,1,0
501452945,1,1,1,0
502469106,1,1,1,0
503484708,1,1,1,0
504504569,1,1,1,0
505515870,1,1,1,0
507536542,1,1,1,0
508546844,1,1,1,0
509566781,1,1,1,0
510567188,1,1,1,0
511578581,1,1,1,0
512578960,1,1,1,0
513579686,1,1,1,0
514585666,1,1,1,0
515590289,1,1,1,0
516609946,1,1,1,0
517610561,1,1,1,0
518620672,1,1,1,0
519636838,1,1,1,0
520642405,1,1,1,0
521653836,1,1,1,0
522663517,1,1,1,0
523679252,1,1,1,0
524694364,1,1,1,0
525699656,1,1,1,0
526710480,1,1,1,0
527710485,1,1,1,0
528725272,1,1,1,0
529736507,1,1,1,0
530737102,1,1,1,0
531742401,1,1,1,0
532757139,1,1,1,0
533768343,1,1,1,0
534784300,1,1,1,0
535794209,1,1,1,0
536794482,1,1,1,0
537800251,1,1,1,0
538819831,1,1,1,0
539836247,1,1,1,0
540836433,1,1,1,0
541841259,1,1,1,0
542842306,1,1,1,0
543858286,1,1,1,0
544864170,1,1,1,0
545883335,1,1,1,0
546893491,1,1,1,0
547904200,1,1,1,0
548914335,1,1,1,0
549924940,1,1,1,0
550945235,1,1,1,0
551955531,1,1,1,0
552956693,1,1,1,0
553977266,1,1,1,0
554997613,1,1,1,0
556027993,1,1,1,0
557033287,1,1,1,0
558048130,1,1,1,0
559059335,1,1,1,0
561095048,1,1,1,0
562106449,1,1,1,0
564146686,1,1,1,0
565166688,1,1,1,0
566171564,1,1,1,0
567173001,1,1,1,0
568178069,1,1,1,0
569183552,1,1,1,0
570189458,1,1,1,0
571204555,1,1,1,0
572214989,1,1,1,0
573234754,1,1,1,0
574245703,1,1,1,0
575255636,1,1,1,0
576256722,1,1,1,0
577267405,1,1,1,0
578282787,1,1,1,0
579297132,1,1,1,0
581328268,1,1,1,0
582348301,1,1,1,0
583364519,1,1,1,0
584385412,1,1,1,0
585410412,1,1,1,0
586420896,1,1,1,0
587431294,1,1,1,0
588431819,1,1,1,0
589442226,1,1,1,0
590462421,1,1,1,0
591478816,1,1,1,0
592488595,1,1,1,0
593488946,1,1,1,0
595523734,1,1,1,0
596524878,1,1,1,0
597544595,1,1,1,0
598555202,1,1,1,0
599570854,1,1,1,0
600576391,1,1,1,0
601586947,1,1,1,0
602602368,1,1,1,0
604637444,1,1,1,0
605638914,1,1,1,0
606648350,1,1,1,0
607654629,1,1,1,0
608679962,1,1,1,0
609680574,1,1,1,0
610686033,1,1,1,0
611700718,1,1,1,0
612711511,1,1,1,0
613717505,1,1,1,0
614742543,1,1,1,0
615758096,1,1,1,0
616768408,1,1,1,0
617773261,1,1,1,0
618793567,1,1,1,0
619804967,1,1,1,0
620824436,1,1,1,0
621834931,1,1,1,0
622845426,1,1,1,0
623855979,1,1,1,0
624856519,1,1,1,0
625862892,1,1,1,0
626877430,1,1,1,0
627877889,1,1,1,0
628884328,1,1,1,0
629898925,1,1,1,0
630915346,1,1,1,0
631930001,1,1,1,0
632940160,1,1,1,0
633940683,1,1,1,0
634957594,1,1,1,0
635977414,1,1,1,0
636991974,1,1,1,0
638002509,1,1,1,0
639003449,1,1,1,0
640009506,1,1,1,0
641013971,1,1,1,0
642020401,1,1,1,0
643035227,1,1,1,0
644045783,1,1,1,0
645062108,1,1,1,0
646076793,1,1,1,0
647093688,1,1,1,0
648107759,1,1,1,0
649128389,1,1,1,0
650129019,1,1,1,0
651129473,1,1,1,0
653130421,1,1,1,0
654141008,1,1,1,0
655157372,1,1,1,0
656177550,1,1,1,0
658193249,1,1,1,0
659209426,1,1,1,0
660219966,1,1,1,0
661234795,1,1,1,0
662245280,1,1,1,0
663246004,1,1,1,0
664262013,1,1,1,0
665262605,1,1,1,0
666262972,1,1,1,0
667277991,1,1,1,0
668288679,1,1,1,0
669295166,1,1,1,0
670299858,1,1,1,0
671306215,1,1,1,0
672317522,1,1,1,0
673326938,1,1,1,0
674338167,1,1,1,0
675342490,1,1,1,0
676353772,1,1,1,0
677359405,1,1,1,0
678374407,1,1,1,0
679375512,1,1,1,0
680376081,1,1,1,0
681376685,1,1,1,0
682387507,1,1,1,0
683407315,1,1,1,0
685438639,1,1,1,0
686455243,1,1,1,0
687469926,1,1,1,0
688486909,1,1,1,0
689490917,1,1,1,0
690501564,1,1,1,0
691512302,1,1,1,0
692512916,1,1,1,0
693528983,1,1,1,0
694549338,1,1,1,0
695550610,1,1,1,0
696556278,1,1,1,0
697570786,1,1,1,0
