timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
394213750,0,1,0,1,0,0,0,0,0,0,0,0,0,0
395732515,0,1,0,1,0,0,0,0,0,0,0,0,0,0
396235763,0,1,0,1,0,0,0,0,0,0,0,0,0,0
396739041,0,1,0,1,0,0,0,0,0,0,0,0,0,0
397249511,0,1,0,1,0,0,0,0,0,0,0,0,0,0
397754062,0,1,0,1,0,0,0,0,0,0,0,0,0,0
398764614,0,1,0,1,0,0,0,0,0,0,0,0,0,0
399266462,0,1,0,1,0,0,0,0,0,0,0,0,0,0
399779031,0,1,0,1,0,0,0,0,0,0,0,0,0,0
400281562,0,1,0,1,0,0,0,0,0,0,0,0,0,0
400785281,0,1,0,1,0,0,0,0,0,0,0,0,0,0
401290555,0,1,0,1,0,0,0,0,0,0,0,0,0,0
401776975,1,1,0,1,0,0,0,0,0,0,0,0,0,0
402280511,1,1,0,1,0,0,0,0,0,0,0,0,0,0
402780887,1,1,0,1,0,0,0,0,0,0,0,0,0,0
403281213,1,1,0,1,0,0,0,0,0,0,0,0,0,0
403789502,1,1,0,1,0,0,0,0,0,0,0,0,0,0
404299641,1,1,0,1,0,0,0,0,0,0,0,0,0,0
404803606,1,1,0,1,0,0,0,0,0,0,0,0,0,0
405312720,1,1,0,1,0,0,0,0,0,0,0,0,0,0
405813687,1,1,0,1,0,0,0,0,0,0,0,0,0,0
406320805,1,1,0,1,0,0,0,0,0,0,0,0,0,0
406826504,1,1,0,1,0,0,0,0,0,0,0,0,0,0
407336720,1,1,0,1,0,0,0,0,0,0,0,0,0,0
407837367,1,1,0,1,0,0,0,0,0,0,0,0,0,0
408346468,1,1,0,1,0,0,0,0,0,0,0,0,0,0
409351917,1,1,0,1,0,0,0,0,0,0,0,0,0,0
409856464,1,1,0,1,0,0,0,0,0,0,0,0,0,0
410365506,1,1,0,1,0,0,0,0,0,0,0,0,0,0
410869327,1,1,0,1,0,0,0,0,0,0,0,0,0,0
