timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
394691196,1627401603200096,386218859,-91532949,53370,101596,1.3440001,0.6437645,5.5030003,12.834001,1.17,2.45,88,5,1.2470001,-0.647,1.0660001,-0.58100003,4.789542,0,nan,0.0,3,0,1,8,0
394890452,1627401603400096,386218853,-91532938,53296,101522,1.1090001,0.64381176,5.498,12.835001,1.17,2.45,88,5,0.51000005,0.044000003,0.508,0.36800003,4.789542,0,nan,0.0,3,0,1,8,0
395091393,1627401603600096,386218845,-91532947,53045,101270,1.08,0.6438577,5.4820004,12.815001,1.17,2.45,88,5,0.93100005,-0.79200006,-0.48800004,-0.039,4.789542,0,nan,0.0,3,0,1,8,0
395290294,1627401603800096,386218843,-91532962,53625,101851,1.2620001,0.64392823,5.478,12.825001,1.17,2.45,88,5,1.6560001,0.354,-1.6170001,0.042000003,4.789542,0,nan,0.0,3,0,1,8,0
395494830,1627401604000096,386218839,-91532963,54247,102473,1.6760001,0.6439996,5.4870005,12.870001,1.17,2.45,88,5,0.75500005,-0.65800005,0.37,-1.217,4.789542,0,nan,0.0,3,0,1,8,0
395701667,1627401604200096,386218826,-91532975,54292,102518,1.5780001,0.64406675,5.491,12.867001,1.17,2.45,88,5,0.59300005,-0.492,-0.33,0.52000004,4.789542,0,nan,0.0,3,0,1,8,0
395900970,1627401604400096,386218791,-91533010,53406,101632,1.7620001,0.69260734,5.497,12.876,1.17,2.45,88,19,2.3890002,-2.242,-0.82600003,1.4920001,4.1889057,0,nan,0.0,3,0,1,8,0
396095613,1627401604600096,386218778,-91532995,53516,101742,1.562,0.6926691,5.4940004,12.854001,1.17,2.45,88,19,1.562,0.65300006,1.4180001,-0.032,4.1889057,0,nan,0.0,3,0,1,8,0
396291429,1627401604800096,386218777,-91532979,54017,102242,1.508,0.6927288,5.4900002,12.833,1.17,2.45,88,19,0.024,0.006,-0.023000002,0.22200002,4.1889057,0,nan,0.0,3,0,1,8,0
396692562,1627401605200096,386218795,-91532995,53755,101981,1.588,0.69148684,5.504,12.84,1.17,2.45,88,19,2.1090002,2.0800002,0.35200003,0.45100003,5.3220854,0,nan,0.0,3,0,1,8,0
396891902,1627401605400096,386218842,-91532983,52874,101100,1.4540001,0.3569987,5.5090003,12.839001,1.17,2.45,88,6,3.515,3.17,1.519,2.7960002,0.15061912,0,nan,0.0,3,0,1,8,0
397091947,1627401605600096,386218865,-91532972,52803,101029,1.7520001,0.35713312,5.5000005,12.802001,1.17,2.45,88,6,0.42200002,0.418,0.059000004,0.58900005,0.15061912,0,nan,0.0,3,0,1,8,0
397288808,1627401605800096,386218846,-91532958,52322,100547,1.2570001,0.6129944,5.5020003,12.809001,1.17,2.45,88,6,2.7710001,-1.6340001,2.2380002,0.209,0.67075515,0,nan,0.0,3,0,1,8,0
