timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
2950136,-3.5327291,-3.6264255,26.843035,1.0
2960954,-3.5318978,-3.625555,26.840176,1.0
3015158,-3.559602,-3.6542256,26.874477,1.0
3025989,-3.5647886,-3.6594887,26.864473,1.0
3036997,-3.5682418,-3.6629903,26.857327,1.0
3047753,-3.5691128,-3.663867,26.85447,1.0
3058539,-3.5621076,-3.6568818,26.883053,1.0
3069477,-3.5438378,-3.6379526,26.85447,1.0
3080249,-3.5176811,-3.6111872,26.868761,1.0
3091026,-3.4864926,-3.579144,26.864473,1.0
3102018,-3.450735,-3.5424416,26.861614,1.0
3112778,-3.4112709,-3.5018952,26.855898,1.0
3123554,-3.3693168,-3.4587193,26.837318,1.0
3145291,-3.284713,-3.3720555,26.87019,1.0
3156035,-3.2458937,-3.3321726,26.864473,1.0
3166998,-3.2120576,-3.2971885,26.823025,1.0
3177860,-3.1844432,-3.2690136,26.85447,1.0
3188617,-3.1627295,-3.247128,26.929304,1.0
3199548,-3.1468265,-3.2308161,26.932163,1.0
3210316,-3.1364148,-3.2201955,26.945026,1.0
3221050,-3.130267,-3.213907,26.946455,1.0
3232012,-3.1296024,-3.2132707,26.95503,1.0
3275393,-3.1351795,-3.2188444,26.923588,1.0
3286130,-3.1319346,-3.2155054,26.92216,1.0
3297039,-3.1243074,-3.2071526,26.824455,1.0
3307821,-3.114948,-3.1975598,26.827312,1.0
3318630,-3.1097343,-3.1922386,26.83303,1.0
3329591,-3.1081436,-3.190548,26.824455,1.0
3340372,-3.1082208,-3.190635,26.825884,1.0
3351149,-3.1119554,-3.1944377,26.820166,1.0
3362062,-3.1209495,-3.2036934,26.824455,1.0
3372894,-3.1336594,-3.2169166,26.857327,1.0
3383631,-3.14883,-3.2322745,26.817308,1.0
3394651,-3.1671798,-3.2516632,26.9193,1.0
3405464,-3.1885948,-3.2737434,26.936451,1.0
3416203,-3.2121098,-3.297776,26.916441,1.0
3427180,-3.237441,-3.3238568,26.935022,1.0
3438121,-3.2624333,-3.3494205,26.91787,1.0
3449091,-3.285462,-3.3730948,26.923588,1.0
3481627,-3.337255,-3.4262695,26.923588,1.0
3492419,-3.3495364,-3.4389312,26.935022,1.0
3503168,-3.358167,-3.4478085,26.93788,1.0
3514157,-3.3632872,-3.453016,26.929304,1.0
3524898,-3.367369,-3.4571903,26.926447,1.0
3535685,-3.3708425,-3.460817,26.926447,1.0
3546753,-3.3755682,-3.4656608,26.925016,1.0
3557527,-3.3831031,-3.4734135,26.927876,1.0
3579158,-3.4052124,-3.4960964,26.925016,1.0
3589943,-3.419089,-3.5103931,26.933592,1.0
3633217,-3.4835644,-3.5765307,26.923588,1.0
3644193,-3.5003538,-3.5937595,26.92216,1.0
3687439,-3.5480223,-3.642065,26.827312,1.0
3698262,-3.559232,-3.653731,26.844463,1.0
3709258,-3.5708208,-3.6655054,26.824455,1.0
3720007,-3.5832264,-3.6782315,26.823025,1.0
3730759,-3.5951257,-3.6904638,26.825884,1.0
3741718,-3.6049962,-3.7005432,26.817308,1.0
3752510,-3.6144786,-3.7104192,26.837318,1.0
3763278,-3.6243324,-3.7205698,26.843035,1.0
3774295,-3.634175,-3.7305582,26.824455,1.0
3785106,-3.6446176,-3.741896,26.923588,1.0
3795855,-3.6560395,-3.7535782,26.916441,1.0
3806761,-3.6684887,-3.7663774,26.9193,1.0
3817599,-3.6816554,-3.7798934,26.926447,1.0
3828362,-3.6951985,-3.7937436,26.91787,1.0
3839269,-3.707187,-3.8061874,26.93931,1.0
3850015,-3.7143285,-3.8133838,26.91787,1.0
3860819,-3.7154124,-3.8146787,26.945026,1.0
3871753,-3.7087448,-3.8077512,26.932163,1.0
3882505,-3.6932883,-3.791855,26.927876,1.0
3893328,-3.6721191,-3.7701657,26.935022,1.0
3904300,-3.647733,-3.7450657,26.925016,1.0
3947550,-3.535548,-3.6299586,26.930735,1.0
3958354,-3.514468,-3.6082637,26.92216,1.0
4012577,-3.4692824,-3.5618532,26.927876,1.0
4023390,-3.4747527,-3.567452,26.925016,1.0
4034353,-3.4824333,-3.5753205,26.92216,1.0
4045141,-3.4905515,-3.583664,26.923588,1.0
4055900,-3.4970276,-3.5903983,26.93788,1.0
4066842,-3.5016384,-3.5950468,26.923588,1.0
4077600,-3.503228,-3.596719,26.923588,1.0
4099359,-3.4960916,-3.588808,26.825884,1.0
4110148,-3.4930236,-3.5856504,26.824455,1.0
4120943,-3.4931574,-3.5857875,26.824455,1.0
4131883,-3.495541,-3.5884275,26.853039,1.0
4142635,-3.4989426,-3.5918338,26.838747,1.0
4164418,-3.5092247,-3.602303,26.824455,1.0
4175215,-3.5171285,-3.6104083,26.823025,1.0
4185960,-3.5265958,-3.6202195,26.844463,1.0
4196895,-3.5353093,-3.629035,26.823025,1.0
4207660,-3.542058,-3.6359882,26.827312,1.0
4218459,-3.548741,-3.6429007,26.835888,1.0
4229431,-3.5565703,-3.6509118,26.8316,1.0
4240260,-3.5654743,-3.659989,26.827312,1.0
4251012,-3.5756426,-3.6704094,26.824455,1.0
4305198,-3.62176,-3.7186396,26.962177,1.0
4316000,-3.6256676,-3.7225366,26.943598,1.0
4327003,-3.6280124,-3.7248554,26.929304,1.0
4337770,-3.633056,-3.7301579,26.949314,1.0
4348523,-3.6400418,-3.7372246,26.929304,1.0
4359480,-3.6473882,-3.7447314,26.923588,1.0
4391992,-3.6727026,-3.770673,26.915926,1.0
4402851,-3.6814568,-3.779155,26.841606,1.0
4413608,-3.688655,-3.7864358,26.824455,1.0
4424521,-3.6930642,-3.791043,26.837318,1.0
4435281,-3.6977115,-3.7959588,26.860186,1.0
4446054,-3.7048965,-3.80328,26.85161,1.0
4489524,-3.728685,-3.828079,26.908781,1.0
4500362,-3.7298782,-3.82924,26.898775,1.0
4511154,-3.7269182,-3.8258593,26.847322,1.0
4522030,-3.7209141,-3.8202143,26.92879,1.0
4532794,-3.7099798,-3.8084712,26.847322,1.0
4543600,-3.6935313,-3.7919655,26.90735,1.0
4576104,-3.6296248,-3.7259574,26.840176,1.0
4587084,-3.6077912,-3.7040823,26.92736,1.0
4597883,-3.585017,-3.6801481,26.837318,1.0
4619588,-3.53927,-3.6336665,26.918785,1.0
4630352,-3.512917,-3.6066365,26.923073,1.0
4641131,-3.4847057,-3.5771956,26.843035,1.0
4706164,-3.356773,-3.445896,26.847322,1.0
4717209,-3.3376348,-3.426109,26.81445,1.0
4727994,-3.3246567,-3.4127383,26.805874,1.0
4738747,-3.31668,-3.4045825,26.81159,1.0
4749630,-3.3071609,-3.3954017,26.915926,1.0
4760385,-3.289769,-3.3774328,26.895916,1.0
4782125,-3.2350953,-3.320885,26.828743,1.0
4792887,-3.202215,-3.2871716,26.835888,1.0
4803698,-3.1640606,-3.2481136,26.855898,1.0
4814703,-3.1231608,-3.2059212,26.817308,1.0
4825454,-3.0865026,-3.168131,26.778719,1.0
4836217,-3.0580826,-3.139498,26.881624,1.0
4857950,-3.0146987,-3.0943549,26.764425,1.0
4868782,-3.0040996,-3.083821,26.8316,1.0
4879707,-3.0028086,-3.0827603,26.893574,1.0
4890459,-3.0081758,-3.0886233,26.962177,1.0
4901268,-3.0180922,-3.0985465,26.912153,1.0
4912198,-3.0343978,-3.1149824,26.853554,1.0
4922962,-3.0581446,-3.1398609,26.949314,1.0
4933858,-3.082629,-3.1650598,26.960749,1.0
4944778,-3.1047072,-3.187291,26.88214,1.0
5020477,-3.2797766,-3.3668458,26.850182,1.0
5031333,-3.3050358,-3.3926136,26.821596,1.0
5042281,-3.3293555,-3.4176188,26.828743,1.0
5053018,-3.3552873,-3.4441147,26.807304,1.0
5074751,-3.4061468,-3.497034,26.923588,1.0
5085510,-3.42512,-3.5169241,26.99362,1.0
5096320,-3.4407244,-3.5324335,26.906437,1.0
5107281,-3.4540534,-3.5465317,26.976469,1.0
5118042,-3.4621456,-3.554935,26.986475,1.0
5128846,-3.4659247,-3.5586035,26.950743,1.0
5139794,-3.4698846,-3.5624235,26.909294,1.0
5150560,-3.4764407,-3.5692306,26.92216,1.0
5161366,-3.4842875,-3.5776362,26.980757,1.0
5172328,-3.489512,-3.5831883,27.012201,1.0
