timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
3092943,-19,32767,32767,32767,-30,32767
3097935,32767,32767,32767,32767,32767,32767
3102937,-9,32767,32767,11,-25,32767
3107943,32767,32767,32767,32767,32767,32767
3112947,-2,32767,32767,32767,-15,32767
3117943,32767,32767,32767,32767,32767,32767
3122945,6,32767,32767,32767,-15,32767
3127947,32767,32767,32767,32767,32767,32767
3132957,32767,32767,32767,32767,-10,32767
3147955,-27,32767,32767,32767,32767,32767
3152991,32767,32767,32767,32767,0,32767
3157957,-19,32767,32767,32767,32767,32767
3162958,32767,32767,32767,32767,10,32767
3167963,-10,32767,32767,-36,32767,32767
3172968,32767,32767,32767,32767,10,32767
3177974,-1,32767,32767,32767,32767,32767
3182978,32767,32767,32767,32767,32767,32767
3188002,6,32767,32767,32767,-36,32767
3192999,32767,32767,32767,32767,32767,32767
3197997,32767,32767,32767,32767,-30,32767
3203002,-35,32767,32767,32767,32767,32767
3208007,32767,32767,32767,32767,-26,32767
3213012,-27,32767,32767,32767,32767,32767
3218017,32767,32767,32767,-35,-16,32767
3223033,-20,32767,32767,32767,32767,32767
3227996,32767,32767,32767,32767,-15,32767
3232997,-9,32767,32767,32767,32767,32767
3278012,-27,32767,32767,32767,10,32767
3283015,32767,32767,32767,32767,32767,32767
3288013,-19,32767,32767,32767,32767,32767
3293015,32767,32767,32767,32767,-36,32767
3298017,-10,32767,32767,32767,32767,32767
3303023,32767,32767,32767,32767,-31,32767
3313023,32767,32767,32767,32767,-26,32767
3318025,6,32767,32767,32767,32767,32767
3323038,32767,32767,32767,32767,-15,32767
3328029,32767,32767,32767,-28,32767,32767
3333031,-35,32767,32767,32767,-15,32767
3338033,32767,32767,32767,32767,32767,32767
3343039,-27,32767,32767,32767,-11,32767
3348037,32767,32767,32767,32767,32767,32767
3353039,-19,32767,32767,32767,-6,32767
3358042,32767,32767,32767,32767,32767,32767
3363047,-10,32767,32767,32767,-1,32767
3368045,32767,32767,32767,32767,32767,32767
3373048,-2,32767,32767,32767,10,32767
3378050,32767,32767,32767,-26,32767,32767
3383056,6,32767,32767,32767,10,32767
3388054,32767,32767,32767,32767,32767,32767
3393056,32767,32767,32767,32767,32767,32767
3398058,-34,32767,32767,32767,-36,32767
3403064,32767,32767,32767,32767,32767,32767
3413064,32767,32767,32767,32767,32767,32767
3418066,-18,32767,32767,32767,-26,32767
3423072,32767,32767,32767,32767,32767,32767
3428070,-9,32767,32767,-13,-15,32767
3433072,32767,32767,32767,32767,32767,32767
3438076,1,32767,32767,32767,-15,32767
3443080,32767,32767,32767,32767,32767,32767
3483099,-14,32767,32767,32767,32767,32767
3488095,32767,32767,32767,-10,32767,32767
3493124,-7,32767,32767,32767,-32,32767
3498101,32767,32767,32767,32767,32767,32767
3503102,0,32767,32767,32767,-26,32767
3508103,32767,32767,32767,32767,32767,32767
3513105,10,32767,32767,32767,-16,32767
3518107,32767,32767,32767,32767,32767,32767
3523109,32767,32767,32767,32767,-15,32767
3528111,-33,32767,32767,32767,32767,32767
3533114,32767,32767,32767,32767,-11,32767
3538117,-25,32767,32767,-8,32767,32767
3543120,32767,32767,32767,32767,-7,32767
3548119,-14,32767,32767,32767,32767,32767
3553122,32767,32767,32767,32767,-2,32767
3558124,-6,32767,32767,32767,32767,32767
3573130,32767,32767,32767,32767,32767,32767
3578139,10,32767,32767,32767,-31,32767
3583134,32767,32767,32767,32767,32767,32767
3588136,32767,32767,32767,-4,-26,32767
3593138,-32,32767,32767,32767,32767,32767
3633166,1,32767,32767,32767,32767,32767
3638159,32767,32767,32767,32767,-1,32767
3643159,10,32767,32767,32767,32767,32767
3683180,32767,32767,32767,32767,-31,32767
3688178,-7,32767,32767,32767,32767,32767
3693179,32767,32767,32767,32767,-26,32767
3698203,0,32767,32767,1,32767,32767
3703183,32767,32767,32767,32767,-15,32767
3708217,10,32767,32767,32767,32767,32767
3713187,32767,32767,32767,32767,-15,32767
3718202,32767,32767,32767,32767,32767,32767
3723192,-31,32767,32767,32767,-11,32767
3728194,32767,32767,32767,32767,32767,32767
3733196,-24,32767,32767,32767,-6,32767
3738201,32767,32767,32767,32767,32767,32767
3743206,-15,32767,32767,32767,-2,32767
3748202,32767,32767,32767,14,32767,32767
3753204,-7,32767,32767,32767,9,32767
3758210,32767,32767,32767,32767,32767,32767
3763208,0,32767,32767,32767,10,32767
3768230,32767,32767,32767,32767,32767,32767
3773212,10,32767,32767,32767,13,32767
3778218,32767,32767,32767,32767,32767,32767
3783216,32767,32767,32767,32767,32767,32767
3788218,-31,32767,32767,32767,-32,32767
3793221,32767,32767,32767,32767,32767,32767
3798233,-24,32767,32767,32767,-27,32767
3803226,32767,32767,32767,32767,32767,32767
3808233,-15,32767,32767,32767,-15,32767
3813232,32767,32767,32767,-35,32767,32767
3818246,-7,32767,32767,32767,-15,32767
3823237,32767,32767,32767,32767,32767,32767
3828244,1,32767,32767,32767,-12,32767
3833250,32767,32767,32767,32767,32767,32767
3838248,10,32767,32767,32767,-7,32767
3843250,32767,32767,32767,32767,32767,32767
3848243,32767,32767,32767,32767,-2,32767
3853259,-32,32767,32767,32767,32767,32767
3858251,32767,32767,32767,32767,10,32767
3863251,-24,32767,32767,-32,32767,32767
3868254,32767,32767,32767,32767,10,32767
3873258,-15,32767,32767,32767,32767,32767
3878259,32767,32767,32767,32767,13,32767
3883269,-7,32767,32767,32767,32767,32767
3888262,32767,32767,32767,32767,32767,32767
3893277,1,32767,32767,32767,-32,32767
3898267,32767,32767,32767,32767,32767,32767
3903266,11,32767,32767,32767,-27,32767
3908276,32767,32767,32767,32767,32767,32767
3948307,-8,32767,32767,32767,32767,32767
3953292,32767,32767,32767,32767,-2,32767
3958287,1,32767,32767,32767,32767,32767
3963304,32767,32767,32767,32767,9,32767
4008311,32767,32767,32767,32767,-28,32767
4013314,-8,32767,32767,32767,32767,32767
4018317,32767,32767,32767,32767,-15,32767
4023339,0,32767,32767,-14,32767,32767
4028324,32767,32767,32767,32767,-8,32767
4033322,10,32767,32767,32767,32767,32767
4038324,32767,32767,32767,32767,-2,32767
4043332,32767,32767,32767,32767,32767,32767
4048328,-32,32767,32767,32767,9,32767
4053328,32767,32767,32767,32767,32767,32767
4058332,-24,32767,32767,32767,10,32767
4063340,32767,32767,32767,32767,32767,32767
4068334,-15,32767,32767,32767,32767,32767
