timestamp,safety_switch_available,safety_off,override_available,override_enabled
2060564,1,1,1,0
3069667,1,1,1,0
5092649,1,1,1,0
10128883,1,1,1,0
12159627,1,1,1,0
13174155,1,1,1,0
14181256,1,1,1,0
15185218,1,1,1,0
16201211,1,1,1,0
17206019,1,1,1,0
19212996,1,1,1,0
20232978,1,1,1,0
21247818,1,1,1,0
23264465,1,1,1,0
25275359,1,1,1,0
26286422,1,1,1,0
28296679,1,1,1,0
29296908,1,1,1,0
30307591,1,1,1,0
32322856,1,1,1,0
33328695,1,1,1,0
35364137,1,1,1,0
36364550,1,1,1,0
37370478,1,1,1,0
41407030,1,1,1,0
43427850,1,1,1,0
44434839,1,1,1,0
45438790,1,1,1,0
46445738,1,1,1,0
47465514,1,1,1,0
49506718,1,1,1,0
50527001,1,1,1,0
51531763,1,1,1,0
54578930,1,1,1,0
56590009,1,1,1,0
62637156,1,1,1,0
63653105,1,1,1,0
66694504,1,1,1,0
67696055,1,1,1,0
68709904,1,1,1,0
70727402,1,1,1,0
72762127,1,1,1,0
73782581,1,1,1,0
75813556,1,1,1,0
76830102,1,1,1,0
78850995,1,1,1,0
79865725,1,1,1,0
81886633,1,1,1,0
82902625,1,1,1,0
83917825,1,1,1,0
86959350,1,1,1,0
87976307,1,1,1,0
88990213,1,1,1,0
90006532,1,1,1,0
91006904,1,1,1,0
92007207,1,1,1,0
99065586,1,1,1,0
100085953,1,1,1,0
102106984,1,1,1,0
103113428,1,1,1,0
104128163,1,1,1,0
105134399,1,1,1,0
106144804,1,1,1,0
107145330,1,1,1,0
111187471,1,1,1,0
112192400,1,1,1,0
113202731,1,1,1,0
114223484,1,1,1,0
115234147,1,1,1,0
117250874,1,1,1,0
119276286,1,1,1,0
120296656,1,1,1,0
123324507,1,1,1,0
124329096,1,1,1,0
125345294,1,1,1,0
126355839,1,1,1,0
127356714,1,1,1,0
129371796,1,1,1,0
130378105,1,1,1,0
132383490,1,1,1,0
133384143,1,1,1,0
136401234,1,1,1,0
137416468,1,1,1,0
138437053,1,1,1,0
140463797,1,1,1,0
141464063,1,1,1,0
142465221,1,1,1,0
143475482,1,1,1,0
144480264,1,1,1,0
147521837,1,1,1,0
148522529,1,1,1,0
149528985,1,1,1,0
151554419,1,1,1,0
153560992,1,1,1,0
156582985,1,1,1,0
160619360,1,1,1,0
162620651,1,1,1,0
163637128,1,1,1,0
165668133,1,1,1,0
167683455,1,1,1,0
168694213,1,1,1,0
170705439,1,1,1,0
171705995,1,1,1,0
173723115,1,1,1,0
175748261,1,1,1,0
176758992,1,1,1,0
181807310,1,1,1,0
184869219,1,1,1,0
185889840,1,1,1,0
186894764,1,1,1,0
188902065,1,1,1,0
190933060,1,1,1,0
191947655,1,1,1,0
193968993,1,1,1,0
195980225,1,1,1,0
196996503,1,1,1,0
198001316,1,1,1,0
201023191,1,1,1,0
202033611,1,1,1,0
204050840,1,1,1,0
205071029,1,1,1,0
207076454,1,1,1,0
208083081,1,1,1,0
210104379,1,1,1,0
211118939,1,1,1,0
213150196,1,1,1,0
214170823,1,1,1,0
216191984,1,1,1,0
218223189,1,1,1,0
220234534,1,1,1,0
221245320,1,1,1,0
222245783,1,1,1,0
225267389,1,1,1,0
226284020,1,1,1,0
227294589,1,1,1,0
229295765,1,1,1,0
231331647,1,1,1,0
232341735,1,1,1,0
233358854,1,1,1,0
235383712,1,1,1,0
236390632,1,1,1,0
237394830,1,1,1,0
238395615,1,1,1,0
239401538,1,1,1,0
242448109,1,1,1,0
243468597,1,1,1,0
244485418,1,1,1,0
