timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
2534640,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3035530,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3537516,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4042513,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5567678,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6076454,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8107134,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8614472,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9124490,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9635290,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10532893,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11035373,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11541657,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12554000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13062472,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13567288,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14571564,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15575318,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16589336,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17091307,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18613599,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19116777,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19625337,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20137147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21149350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21649946,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22654907,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23160301,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24171364,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25189629,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26088536,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27611409,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28617744,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29127329,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29629325,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30644451,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31154587,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31658453,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33183376,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33693053,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35274698,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35777337,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36281324,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36786447,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37797334,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38806403,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39308289,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39819296,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40322134,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41342578,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41852768,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43870505,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44381344,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49949293,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54994847,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56520801,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030414,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57536336,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58041278,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59062473,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59568496,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60587668,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61594632,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62096446,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63618373,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64627955,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66665598,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67176319,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67682486,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68190355,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70208293,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70710629,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71221570,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72229579,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73249142,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74263344,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74771402,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75295346,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75804410,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76307329,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77824485,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78841159,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79341292,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80357704,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80857870,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81359351,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81869296,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82372428,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83883547,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84385054,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84885347,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85389336,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86911314,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
