timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
3088054,3086388,1114122,2228234,-0.00010511216,7.495745e-05,3.3053835e-05,0.00014907097,-0.00074192585,-0.0493734,4974,4974,0
3093065,3091378,1114122,2228234,-9.073784e-05,3.135765e-05,2.503182e-05,-1.9361165e-05,-0.0015714245,-0.050655026,4990,5052,0
3589343,3589048,1114122,2228234,-0.000116891766,6.0351424e-05,-2.0426191e-06,-0.00044126078,-0.0008166879,-0.049971893,4995,5001,0
4592145,4591997,1114122,2228234,-0.00010281248,7.133218e-05,1.9879804e-05,-0.0005298942,-0.0008977352,-0.049622178,4965,5001,0
5090009,5089716,1114122,2228234,-0.00014634567,4.1290445e-05,1.17753225e-05,-6.592796e-05,-0.0012793504,-0.050535154,4998,4999,0
5587608,5587383,1114122,2228234,-0.0001758222,7.196406e-05,5.8272944e-06,4.7017737e-05,-0.0009299403,-0.050744433,4975,5044,0
7588387,7585739,1114122,2228234,-0.00015747543,3.8825354e-05,3.081873e-05,0.00087148295,-0.0013157158,-0.04984811,4996,4932,0
8088654,8088419,1114122,2228234,-8.3509134e-05,9.444889e-05,2.1038937e-05,-8.364019e-05,-0.0008323724,-0.051635664,4972,5041,0
8591450,8591146,1114122,2228234,-0.00010019357,7.724053e-05,1.3475681e-05,-0.00075867283,-0.00061634433,-0.04958652,5006,4996,0
9591831,9591564,1114122,2228234,-5.386831e-05,7.276573e-05,6.6318804e-05,0.00018383269,-0.0006102042,-0.05137908,5007,5009,0
10089472,10089291,1114122,2228234,-0.00012845537,4.4962682e-05,2.812767e-06,-0.00039370215,-0.0004914968,-0.049805366,5018,5011,0
10589781,10589494,1114122,2228234,-0.00013144419,3.758109e-05,2.0626607e-05,-0.00021880456,-0.00057715684,-0.04958634,4993,5061,0
11087516,11087210,1114122,2228234,-0.00010264048,5.2860283e-05,4.762018e-05,-0.00013814752,-0.00071885,-0.05055644,4975,5044,0
11590086,11589894,1114122,2228234,-0.00012174823,6.5679225e-05,-3.2084045e-06,0.00054378586,-0.0006710557,-0.050680324,4999,5001,0
12087993,12087688,1114122,2228234,-0.00013888396,0.00010925495,-5.5085543e-06,-0.00036716065,-0.0010695971,-0.04993089,5073,5091,0
12588128,12587861,1114122,2228234,-0.00012567452,8.357788e-05,3.4596404e-05,-0.0003348718,-0.0014875827,-0.049004886,5019,4877,0
13588561,13588269,1114122,2228234,-0.00015180388,3.4809163e-05,1.9569581e-05,0.00030461006,-0.00073011365,-0.050649036,4930,5010,0
14591384,14591258,1114122,2228234,-7.505709e-05,7.3466996e-05,2.383243e-06,-0.0016160486,-0.0007116785,-0.048171304,4934,4922,0
15089475,15088944,1114122,2228234,-0.00011376966,7.0261354e-05,3.3182507e-05,-0.0009022291,-0.0003749126,-0.0494091,4904,4928,0
15591850,15591614,1114122,2228234,-2.3915134e-05,7.768e-05,-5.665681e-06,0.0002068786,-0.0006549455,-0.05002917,4884,4966,0
16587226,16587052,1114122,2228234,-0.0001444157,5.3981537e-05,1.2650023e-05,-0.00035320362,-0.000730325,-0.04958723,5012,5013,0
17087414,17087286,1114122,2228234,-0.00011609404,8.6667635e-05,2.2367227e-05,0.0004563047,-0.000331887,-0.05046022,4982,4911,0
17590313,17590004,1114122,2228234,-0.00011317522,6.197231e-05,2.3516372e-05,-0.0009908008,-0.0013337635,-0.049803585,4939,4967,0
19088364,19088133,1114122,2228234,-0.00013659729,9.9327015e-05,2.6599153e-07,-0.0003599675,-0.00040059758,-0.04979924,4998,5004,0
20091414,20091114,1114122,2228234,-7.453406e-05,7.12636e-05,2.1063322e-05,-5.4308304e-05,-0.00043815674,-0.049442444,4986,4986,0
20591561,20588905,1114122,2228234,-0.00014842935,0.00012116224,1.112961e-05,-0.00017099557,-0.0016734139,-0.050490767,5070,5046,0
21091816,21091518,1114122,2228234,-9.3403934e-05,1.3250738e-05,3.2457014e-05,-0.00034850018,-0.00073809765,-0.050172374,5019,5018,0
21589430,21589243,1114122,2228234,-0.00013436111,6.429403e-05,3.5147415e-05,-0.0005787425,-8.597827e-05,-0.05072037,4981,4985,0
22089876,22089652,1114122,2228234,-0.00015960242,7.761213e-05,3.575567e-06,-0.0002962918,0.00022239595,-0.05140766,5197,5068,0
22587568,22587239,1114122,2228234,-7.959894e-05,2.2176875e-05,5.4550515e-06,-0.0007093122,-0.0011877242,-0.06089837,5047,6113,0
23587924,23587607,1114122,2228234,-0.0001249958,4.533215e-05,1.1677139e-05,-0.00027539325,-0.0009862761,-0.04997429,4925,4996,0
24091849,24090343,1114122,2228234,-9.24347e-05,5.229542e-05,7.0990354e-06,-0.0016833397,-0.00010903385,-0.04919818,4995,4978,0
27589763,27589443,1114122,2228234,-0.00010988677,8.1935e-05,1.0721845e-05,-4.899943e-05,-0.0012880624,-0.05016481,5027,4964,0
28088039,28087169,1114122,2228234,-8.120734e-05,0.0001116982,2.9206945e-05,0.00017764115,-0.0007556198,-0.050366472,5057,4995,0
28590258,28589844,1114122,2228234,-8.2718056e-05,5.9848902e-05,5.7410427e-05,0.0011687137,-0.0017824036,-0.050024953,4985,4923,0
30588635,30585767,1114122,2228234,-0.00011745677,0.00010037211,1.4868667e-05,-0.00093392294,-0.00034981026,-0.05029323,4994,4994,0
32589608,32589481,1114122,2228234,-0.00011836412,7.088705e-05,4.8849153e-05,-0.0012020629,-0.0011908875,-0.049344003,5013,5015,0
33092230,33091890,1114122,2228234,-0.0001366531,0.00010149046,1.5194528e-05,-0.00065475976,0.00039025722,-0.04902625,4979,5042,0
33589887,33589617,1114122,2228234,-8.8287146e-05,8.561884e-05,3.0309417e-05,-0.00053659664,-0.0012703204,-0.04964198,4977,5045,0
34087634,34087348,1114122,2228234,-6.8779045e-05,4.5554443e-05,4.349831e-05,0.00012329457,-0.0008676331,-0.050308783,4988,4985,0
34589079,34587680,1114122,2228234,-0.000124179,3.780957e-05,6.7278047e-06,-0.0003127936,-0.0011101814,-0.05071458,4772,5034,0
35588346,35588049,1114122,2228234,-0.00013164533,0.00011762546,3.507241e-05,-0.00041202304,-0.00065771485,-0.04967007,4955,4983,0
38592085,38591926,1114122,2228234,-0.00013003084,7.6296e-05,3.6471607e-05,-0.0004488384,-0.0014053218,-0.048663694,5014,5011,0
39087551,39087405,1114122,2228234,-9.233881e-05,0.000112299625,2.8498993e-05,-0.0006367692,-0.00061458733,-0.049415685,5013,5025,0
39590281,39589901,1114122,2228234,-8.419096e-05,9.196858e-05,1.7217784e-05,7.888048e-05,-0.00049671286,-0.05084945,5031,5097,0
41090878,41090559,1114122,2228234,-0.00010742816,5.8111604e-05,4.2113294e-05,-0.0013741805,-0.0005447493,-0.049264573,5003,5004,0
41591053,41588323,1114122,2228234,-7.372316e-05,3.7805366e-05,7.1123253e-07,0.00025986784,-0.00088800094,-0.0497345,5004,5004,0
42590322,42588877,1114122,2228234,-2.5908063e-05,9.988609e-05,2.8510374e-05,-0.00077584264,-0.0015626675,-0.052038282,5123,5126,0
43089140,43088972,1114122,2228234,-0.00011615947,3.360421e-05,2.0841819e-05,0.00027155355,-0.00073113496,-0.049109858,4954,5023,0
43592146,43591800,1114122,2228234,-8.220384e-05,5.513126e-05,3.6252528e-05,-0.00053758133,-0.00012772164,-0.05056735,5080,5083,0
44089670,44089475,1114122,2228234,-9.799367e-05,4.8843813e-05,2.1120493e-05,-0.001257821,-0.00085080747,-0.049117032,4976,4973,0
44588156,44587263,1114122,2228234,-0.00011219814,7.701635e-05,2.0151158e-05,-0.00028177298,-0.0013463303,-0.05060038,5065,5046,0
45590407,45590158,1114122,2228234,-8.711871e-05,8.496556e-05,1.1444303e-05,2.6070351e-05,-0.0018986608,-0.04911382,4928,5014,0
46088204,46087908,1114122,2228234,-7.6215976e-05,8.115955e-05,3.4980665e-05,-0.0005039285,-0.0019736239,-0.05065878,4986,5055,0
47088678,47085875,1114122,2228234,-9.165322e-05,7.4638054e-05,5.9236622e-06,-0.0011240873,-0.0017850084,-0.049786612,4941,4971,0
48088039,48086387,1114122,2228234,-0.00012407471,5.5185265e-05,1.8516117e-05,-0.0017388859,-0.0019657991,-0.058978006,5014,5999,0
48591748,48591561,1114122,2228234,-9.142588e-05,0.00010048142,3.7432897e-06,-0.00079117855,-0.0004369895,-0.05016714,4987,5045,0
49089778,49089369,1114122,2228234,-0.00013192683,3.1968426e-05,1.1246597e-05,-0.00034232956,-0.0011433171,-0.04986558,4843,5058,0
49587343,49587063,1114122,2228234,-4.0105308e-05,9.719345e-05,5.637565e-05,-0.000554713,-0.0012004676,-0.050337102,5007,5007,0
50590318,50590016,1114122,2228234,-6.1167564e-05,9.0429596e-05,3.7370985e-05,-0.0011748569,-0.00033696165,-0.04932604,4950,5013,0
51088034,51087800,1114122,2228234,-0.0001292235,7.8456724e-05,6.894066e-06,0.00010829265,-0.0007428637,-0.04942253,5028,5030,0
51590841,51590504,1114122,2228234,-0.00012773761,6.589793e-05,1.3200959e-05,-0.0011999835,-0.00067590707,-0.04891883,4986,4986,0
53590664,53588945,1114122,2228234,-4.503595e-05,6.925043e-05,4.4980876e-05,-0.000792497,-0.00032795573,-0.050101627,4994,4991,0
55089889,55089695,1114122,2228234,-0.000103956874,2.9093422e-05,3.332265e-05,0.00016858609,-0.0011815502,-0.049033992,4984,4984,0
55587715,55587418,1114122,2228234,-0.00010739055,0.00011204597,3.4028344e-05,-0.00075431465,-0.00069937506,-0.04950852,4927,5002,0
56090405,56090178,1114122,2228234,-0.0001069925,6.384289e-05,4.568184e-05,-0.0015470013,-0.001229311,-0.04974102,5017,5018,0
56590669,56590437,1114122,2228234,-8.466668e-05,8.45785e-05,1.187509e-05,-0.0015108496,-0.00095619593,-0.048219986,5030,4960,0
60587564,60587335,1114122,2228234,-7.8320336e-05,0.00011481169,2.3993322e-05,0.00023226597,-0.00087903615,-0.04990152,4929,5026,0
61587991,61587823,1114122,2228234,-0.00011104936,3.7101727e-05,-3.0223277e-06,0.0006069333,-0.0011976642,-0.049762364,4977,4974,0
