timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
2239510,inf,0,0,0,1,0
4241618,inf,0,0,0,1,0
5242531,inf,0,0,0,1,0
6243235,inf,0,0,0,1,0
7244219,inf,0,0,0,1,0
8245212,inf,0,0,0,1,0
9246217,inf,0,0,0,1,0
11249280,inf,0,0,0,1,0
12259069,inf,0,0,0,1,0
14259498,inf,0,0,0,1,0
15260819,inf,0,0,0,1,0
16260971,inf,0,0,0,1,0
17271165,inf,0,0,0,1,0
18272293,inf,0,0,0,1,0
19282015,inf,0,0,0,1,0
24284252,inf,0,0,0,1,0
25284380,inf,0,0,0,1,0
26285470,inf,0,0,0,1,0
28295989,inf,0,0,0,1,0
30297021,inf,0,0,0,1,0
31297406,inf,0,0,0,1,0
32297567,inf,0,0,0,1,0
33298335,inf,0,0,0,1,0
34298581,inf,0,0,0,1,0
39321607,inf,0,0,0,1,0
41331897,inf,0,0,0,1,0
44333571,inf,0,0,0,1,0
47334647,inf,0,0,0,1,0
48335051,inf,0,0,0,1,0
51346903,inf,0,0,0,1,0
52347161,inf,0,0,0,1,0
54348197,inf,0,0,0,1,0
58360093,inf,0,0,0,1,0
59360164,inf,0,0,0,1,0
60361185,inf,0,0,0,1,0
61361426,inf,0,0,0,1,0
65373559,inf,0,0,0,1,0
67374311,inf,0,0,0,1,0
68374854,inf,0,0,0,1,0
70375719,inf,0,0,0,1,0
73377170,inf,0,0,0,1,0
74377913,inf,0,0,0,1,0
75378898,inf,0,0,0,1,0
76388901,inf,0,0,0,1,0
77389167,inf,0,0,0,1,0
78389918,inf,0,0,0,1,0
80400947,inf,0,0,0,1,0
81401451,inf,0,0,0,1,0
83402539,inf,0,0,0,1,0
84402758,inf,0,0,0,1,0
85403957,inf,0,0,0,1,0
87404359,inf,0,0,0,1,0
90405725,inf,0,0,0,1,0
91407031,inf,0,0,0,1,0
92407229,inf,0,0,0,1,0
93417941,inf,0,0,0,1,0
96418765,inf,0,0,0,1,0
100421345,inf,0,0,0,1,0
102432221,inf,0,0,0,1,0
103432524,inf,0,0,0,1,0
104433114,inf,0,0,0,1,0
105433625,inf,0,0,0,1,0
106434918,inf,0,0,0,1,0
108435460,inf,0,0,0,1,0
109435923,inf,0,0,0,1,0
110436601,inf,0,0,0,1,0
111436964,inf,0,0,0,1,0
115439130,inf,0,0,0,1,0
116439607,inf,0,0,0,1,0
117439924,inf,0,0,0,1,0
121442081,inf,0,0,0,1,0
122442780,inf,0,0,0,1,0
124444129,inf,0,0,0,1,0
125444196,inf,0,0,0,1,0
126445076,inf,0,0,0,1,0
130447652,inf,0,0,0,1,0
131447864,inf,0,0,0,1,0
134449712,inf,0,0,0,1,0
135449932,inf,0,0,0,1,0
137451344,inf,0,0,0,1,0
138452174,inf,0,0,0,1,0
139452388,inf,0,0,0,1,0
140453083,inf,0,0,0,1,0
142453917,inf,0,0,0,1,0
143455000,inf,0,0,0,1,0
145465986,inf,0,0,0,1,0
150468438,inf,0,0,0,1,0
153480426,inf,0,0,0,1,0
154481169,inf,0,0,0,1,0
155481749,inf,0,0,0,1,0
160484488,inf,0,0,0,1,0
164486482,inf,0,0,0,1,0
165487462,inf,0,0,0,1,0
167488494,inf,0,0,0,1,0
168489607,inf,0,0,0,1,0
169490095,inf,0,0,0,1,0
170500695,inf,0,0,0,1,0
172501869,inf,0,0,0,1,0
174503146,inf,0,0,0,1,0
176504458,inf,0,0,0,1,0
177504862,inf,0,0,0,1,0
179506310,inf,0,0,0,1,0
181506703,inf,0,0,0,1,0
182508009,inf,0,0,0,1,0
186510147,inf,0,0,0,1,0
187510781,inf,0,0,0,1,0
188510993,inf,0,0,0,1,0
189512084,inf,0,0,0,1,0
191512745,inf,0,0,0,1,0
192513830,inf,0,0,0,1,0
193514119,inf,0,0,0,1,0
194515029,inf,0,0,0,1,0
200537904,inf,0,0,0,1,0
201538155,inf,0,0,0,1,0
202538857,inf,0,0,0,1,0
203539635,inf,0,0,0,1,0
204540052,inf,0,0,0,1,0
210543965,inf,0,0,0,1,0
211544156,inf,0,0,0,1,0
216547453,inf,0,0,0,1,0
217547941,inf,0,0,0,1,0
220549629,inf,0,0,0,1,0
221550323,inf,0,0,0,1,0
222551167,inf,0,0,0,1,0
225552727,inf,0,0,0,1,0
226553363,inf,0,0,0,1,0
229555296,inf,0,0,0,1,0
230555482,inf,0,0,0,1,0
231556418,inf,0,0,0,1,0
232557731,inf,0,0,0,1,0
233558214,inf,0,0,0,1,0
235569265,inf,0,0,0,1,0
236579621,inf,0,0,0,1,0
237580022,inf,0,0,0,1,0
238580364,inf,0,0,0,1,0
241582833,inf,0,0,0,1,0
242583655,inf,0,0,0,1,0
