timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
10125875,0,0.0,0.0,0.0,0.0,-1.2155514,3.2243716e-07,3.31982e-07,0.0,-0.00026194117,0.0013544472,-0.238519,-0.27903867,6.448743e-05,6.63964e-05,0.0,-0.04125547,0.00014372253,0.03310932,-0.12427584,0.0002478313,0.0,0.1949445,0.50425583,0.783518,0.6434876,0.42183372,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10526066,0,0.0,0.0,0.0,0.0,-1.2702531,3.2243716e-07,3.31982e-07,0.0,0.00055048283,-0.00021705953,-0.23053345,-0.22918622,6.448743e-05,6.63964e-05,0.0,0.00813913,0.026713828,-0.018725835,-0.124388576,0.0002478313,0.0,0.17328763,0.47029656,0.7825393,0.51963395,0.4090008,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10626076,0,0.0,0.0,0.0,0.0,-1.2884407,3.2243716e-07,3.31982e-07,0.0,0.0012803052,-0.0012550458,-0.23026435,-0.22612986,6.448743e-05,6.63964e-05,0.0,-0.24058382,-0.07630456,-0.12873252,-0.124359205,0.0002478313,0.0,0.16464186,0.4171837,0.77744454,0.48082992,0.40412027,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11426417,0,0.0,0.0,0.0,0.0,-1.4725611,3.2243716e-07,3.31982e-07,0.0,-0.0010467368,0.00019096705,-0.24048176,-0.24306862,6.448743e-05,6.63964e-05,0.0,-0.02526555,-0.034156594,-0.020706099,-0.12471497,0.0002478313,0.0,0.14675832,0.40504783,0.7568178,0.5538418,0.3737611,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11526460,0,0.0,0.0,0.0,0.0,-1.4981014,3.2243716e-07,3.31982e-07,0.0,-0.0009874897,0.0006728909,-0.2420185,-0.24652444,6.448743e-05,6.63964e-05,0.0,0.026853768,0.006029256,0.013152119,-0.124760725,0.0002478313,0.0,0.15077078,0.449166,0.7521104,0.5948312,0.36937785,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11626506,0,0.0,0.0,0.0,0.0,-1.5230286,3.2243716e-07,3.31982e-07,0.0,-0.0015530845,0.00040787616,-0.24416034,-0.2495246,6.448743e-05,6.63964e-05,0.0,-0.004703458,-0.020345908,0.0071495473,-0.124805085,0.0002478313,0.0,0.15001798,0.4090348,0.76519614,0.56138724,0.37114012,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11926635,0,0.0,0.0,0.0,0.0,-1.5935159,3.2243716e-07,3.31982e-07,0.0,-0.0027123273,1.8811172e-05,-0.24659012,-0.24857602,6.448743e-05,6.63964e-05,0.0,-0.004293021,-0.0041732895,0.010379114,-0.124860264,0.0002478313,0.0,0.15583098,0.45951548,0.75103545,0.5933567,0.3582367,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
12026679,0,0.0,0.0,0.0,0.0,-1.615176,3.2243716e-07,3.31982e-07,0.0,-0.002928161,-0.000106902495,-0.247428,-0.24687958,6.448743e-05,6.63964e-05,0.0,-0.010142322,-0.047927525,-0.025820319,-0.124841146,0.0002478313,0.0,0.15675437,0.41567546,0.74639446,0.5451484,0.3540273,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
12126712,0,0.0,0.0,0.0,0.0,-1.6368309,3.2243716e-07,3.31982e-07,0.0,-0.0036745109,0.000723021,-0.24797525,-0.24518086,6.448743e-05,6.63964e-05,0.0,0.0038998155,0.034866154,-0.010318137,-0.12482731,0.0002478313,0.0,0.15493786,0.461927,0.741885,0.5768223,0.34990823,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
12326798,0,0.0,0.0,0.0,0.0,-1.6797992,3.2243716e-07,3.31982e-07,0.0,-0.0037011849,0.0012177323,-0.24797727,-0.2407146,6.448743e-05,6.63964e-05,0.0,-0.007400727,0.023917712,0.009725946,-0.12476039,0.0002478313,0.0,0.1595329,0.4616424,0.7495973,0.552903,0.34726822,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
